HashFunction,HashOwner,HashApp,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
11bd75f83a144cc93e3f42f289f18bd892dca1913e7d5776e1be9a225bc844ab,c8e6172971ead769affdf91f0d1229345e7c8333f9d5625025eded99a7d5af54,80fe3c48a2705ef64835a01d242375b34890008c7040bcdf4c655d7f4afde5ec,23473,13.344827586206897,5.965517241379311,7.862068965517241,10.517241379310343,12.93103448275862,16.17241379310345,19.448275862068964,22.48275862068965,29.27586206896552
f5b31925b5656ddcf82d8b7251601d0533d6d9c4bf0154a9d96f22deae52dd80,87b3387769103e27e35a340be403b699f5c966ce1d3559e456950cf6c02686b4,7d8959f115f56de92ef7a230b11d031989d07ca64ee1246c02e32440a82a62f0,1094,106.0,65.0,87.0,103.0,105.0,114.0,132.0,133.0,133.0
073bbe2040ce6b584d9af70e40d5ccdacd6f096c7f7934a0b70631d965c0354c,b445f5b71cf970f495d1ecd7f0ad10a6d5482a912471c4c6c42cb8ac6ce6f5c3,1b61ac3838950c2ea28d46c8989567c4796e3bc4c9d2c5dea9f88482f77e2b24,17248,144.0,141.0,142.0,142.0,144.0,146.0,148.0,148.0,149.0
a6e97144b045306b59d228a0ad839a17f177aaf0b571adc192212275be59eabe,909ce6c88b20e5d526f4075109fd19da7a9b7bf325c97510ddd9ceb946613d0e,902427f4525376e6dc705e33a0f54d50b4ef6d4d10b200d4622818c2a5583cbf,16770,49.5,28.0,29.0,32.5,39.5,73.0,78.5,82.0,109.5
ccf4968387b927f6c7fecfa79935ed8b01ecc95ec957d6554fb54c44688bd4ab,76341468d1c00081c4915aef9d111699b237b6d28e71485bece3b3634da3f7c6,5f6e4309db2ad2134ff2ba4d3fafd260aced5fa3cf0c191b40056c1578b37b66,17250,14.6,13.5,13.9,14.3,14.9,14.9,14.9,14.9,15.2
39ad6367fb9f04d5a3ddba2bda25399d870a3a69a6ea2960bef54ab670a8a68f,b5d57db7de832e6c67280602486b03c64c8b58c9ed24e09a328e13086fca7727,260f6870a9c1edc3c30f946c27c6d5990c0014b09baafbf87660c7ecba1287b6,16177,31.0,16.666666666666668,18.33333333333333,21.0,31.166666666666668,33.833333333333336,39.0,157.66666666666666,158.0
c6771750ff5a432255e83b4e4a1aee6be32f964b941677de6e9a3ef29e32fe5e,51e0ebd33aebf3ee07d83f33a1e8c868a39164621cd3bf5a9f42d90d3aa59ce6,2885f47d24672e01a9485bb646e814d02f6d60337d7545e474e264812385c214,3981,111.0,98.0,106.0,109.0,111.0,113.0,133.0,136.0,137.0
c60517617b42d76d9279cf738f2f9dc1b90f6abe796a6071683af042e4d6718c,61fe396dad65bcf451bdda447acf7816f00935d6511700e13515461243a65fff,2ee9709a085f4650128f073bce58f70896d2abaa77325c6ed60964f83bb8523b,6745,119.0,101.0,105.0,113.0,114.0,129.0,138.0,138.0,142.0
1dcc3b9474b4cc0b499a008e2cc2f56381ab83031bb2a230bd3d29267de3af36,9ebed12b5576b9f86c324deba091129b33144e3950674a13de850360b0564fcb,a6d7aa6d979bd42c8506200378f9e792c6f78ad0f2db9231bdb0d358de18f819,41293,16.142857142857142,13.142857142857142,13.714285714285714,15.0,15.928571428571429,17.285714285714285,19.142857142857142,21.142857142857142,23.642857142857142
7997f320c95fad27628b90bb5b42450442dface8ade783e1ddfee039d36c3793,a9bd405f1377658fadabfedd49d1700a76f91170e76ee82d1957e30f9e314dda,de6d982299d7f973c4c9b2499f738b53d7f38a9bdb0c3722106d29d359124241,19923,126.0,111.0,115.0,117.0,129.0,130.0,132.0,193.0,198.0
