HashOwner,HashApp,HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
a175095ccc7009181079b76c0ff0d2edbbb10bae99ec4a01246badb687b6160a,51adeb79ff165d6906fde0b77be345ea433d320c6fefb87b26599a074f574a85,65c4bf1b7fe6a7796d542f0c178b98269f131537076eeb34a5e52808f8486c96,36,3674833,10.0,6246.0,22,25,31,34,39,65,630
1e32bc67163fdcd2cc65d3abb5f7b8e563056f6d4267b8ac3be7978ed0ba5649,d30db47b230823a3dbbbbd8e041e81d3031ba15ac02b5924a474ab96d46d9496,eb7a106387860be5118bcf19a3dfe7b7bd8a36ba268164a9109e0a075ce1a644,14,109087,5.0,4510.0,6,8,9,10,14,81,935
185202764c4785fc7144d8899f09ef3d8a96dcc6e0a4a6764ffedc01bcaaae10,3ae999c451c31d2d9b55dfb56fc2b0d40279fb7207ac2674effed15055b40567,e2335dec24d4dd4f1b87cf98f86c0e579891e5b77319c27fc3e6f7fc87e79735,78,1440,0.0,1406.0,0,0,0,0,0,942,1406
1c5909c9017da0cf0fe655d41cc47ad2a15c6a95bdec7b7373453611b2df7dff,3e9be0dad034df6b0b5915bb3f3b8997e115abbb4dd1ca11664cc1fd442f4e6c,a5b8230ae0bdd82adf06ef357f88d1d70289049c125b146dfb16e972a9a4990d,461,118907,140.0,100258.0,170,208,242,274,375,3478,54921
69f9ecaaef24e8a2dd6c5ad94f2166c0ccb205517201f471d9d2f679931e2f02,ff89f894e5d45bc686b367f52412e4939bfdc18197f55dc12ebff3c022db3ff3,c74707ffe4434c786ad0bb67eabb1e1b003a156651d3b95c85cc986148706d4f,45,476514,17.0,65036.0,19,21,24,26,39,320,6526
88c13bca409198e1183406a0d979462f98489bc2d208cca1b92de278a28e596f,20f106eca9a28dd18dee3fe301d30bb749dbad9520b99f255b7e74af4bc0572a,66d5754135361d034f31cc327e4749e2d0759986aea988ef1c86b743ea6270b0,416,288,5.0,2945.0,5,6,11,12,721,2831,2945
64c3698bab721c818864f417c56ade535c191b453d057331f269fa352afd6534,c3ce937cb80684fe9f299a8823f54d1bfb962199b6f874019c41ade21af60e09,e5cebb1cc5841eb29f8e61e887599314d5773007f36f567d94cf02a6e4581708,58,8641,0.0,11342.0,0,12,18,38,51,714,4130
3a26745c2186daa9ad38f43500320a2a6cf588a695c9bdc4bc589d99753d5d08,24a4863b0a2870be36b63072917a378a993a2bd5c66d627bb58c482af3e4a5c7,5262713c885e190ec78dfb98f89e48c01756821a8aeed08dd1222dafb6592214,5386,480,1707.0,12084.0,1707,1836,4090,5443,6636,9980,12084
9cb5e7e30f81227c73c7ec59ce9ad10327ac4bec216d656cdbf998a4e0aa58cb,0591f41355b1dacacedd8918244d6a36e26ef3d0d70f170e0ce0de461ecb0b84,0c68d72ec2dfbb232c7436e1ac0efe26a4c5b74b757f9967278a0672b8e4b17e,9,288,0.0,46.0,0,0,0,15,15,32,46
8509ee974d1c344a8e7874505e069136c560b2e2b0ebb944af39461bb952a8db,b1dfdaf804671d4e98f5822142aea6309e9a2b0714c803ce088e5341ad0acbaa,19d692797ee5c43999810e3ad91fd92e7fc02de39977052521558aea3e46bf2d,1242,740,299.0,10798.0,299,368,469,571,1721,6243,10798
63df872011e8ec65c36c34e92e60d24f02829370175316fa79a6ec3d58ad5449,1c7b926b8bf2549b994132d7abcf5c56bd4139a9ba6ce67861bc412f493fc343,dea0644b84f29b0c38b6990489f6e8def5fcc8e60d97af578a941ad404aa6216,42308,1446,42022.0,103492.0,42022,42032,42066,42084,42113,42763,103492
d8dbbd9e2962bd4e176ad8f43880615455d5a0e4200f6390d3b48d625b58d6d7,d060548c5ced4ad8750794f4ecef3acb41dfab848e4b11fd874b210dd731915e,b2dc0254d766193cd30ec2a8570247aa672405fcb2831051f90487a20a39f167,4,1236,1.0,27.0,1,1,2,4,7,9,26
