Linux 5.4.0-164-generic (node-2.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/28/2024 	_x86_64_	(40 CPU)

07:04:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:01 PM  all   17.57    0.00   13.15    0.08    0.00    0.46    0.00    0.00    0.00   68.75
07:06:01 PM  all   33.95    0.00   12.62    0.05    0.00    0.49    0.00    0.00    0.00   52.89
07:07:01 PM  all   34.52    0.00   12.22    0.04    0.00    0.51    0.00    0.00    0.00   52.71
07:08:01 PM  all   32.97    0.00   12.09    0.03    0.00    0.50    0.00    0.00    0.00   54.41
07:09:01 PM  all   34.66    0.00   13.00    0.04    0.00    0.56    0.00    0.00    0.00   51.73
07:10:01 PM  all   27.22    0.00   11.88    0.03    0.00    0.60    0.00    0.00    0.00   60.26
07:11:01 PM  all   30.88    0.00   11.02    0.03    0.00    0.53    0.00    0.00    0.00   57.54
07:12:01 PM  all   31.70    0.00   11.08    0.03    0.00    0.55    0.00    0.00    0.00   56.64
07:13:01 PM  all   30.97    0.00   12.06    0.03    0.00    0.59    0.00    0.00    0.00   56.36
07:14:01 PM  all   33.47    0.00   10.69    0.03    0.00    0.53    0.00    0.00    0.00   55.28
07:15:01 PM  all   27.31    0.00   11.21    0.03    0.00    0.62    0.00    0.00    0.00   60.82
07:16:01 PM  all   26.05    0.00   10.73    0.03    0.00    0.62    0.00    0.00    0.00   62.57
Average:     all   30.10    0.00   11.81    0.04    0.00    0.55    0.00    0.00    0.00   57.50
