Linux 5.4.0-164-generic (node-2.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/29/2024 	_x86_64_	(40 CPU)

12:39:44 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:40:44 AM  all   16.86    0.00   13.03    0.06    0.00    0.41    0.00    0.00    0.00   69.64
12:41:44 AM  all   53.44    0.00   14.89    0.07    0.00    0.55    0.00    0.00    0.00   31.04
12:42:44 AM  all   56.17    0.00   20.51    0.05    0.00    0.45    0.00    0.00    0.00   22.83
12:43:44 AM  all   61.45    0.00   20.18    0.03    0.00    0.46    0.00    0.00    0.00   17.88
12:44:44 AM  all   54.88    0.00   17.55    0.04    0.00    0.52    0.00    0.00    0.00   27.02
12:45:44 AM  all   48.24    0.00   15.48    0.05    0.00    0.68    0.00    0.00    0.00   35.56
12:46:44 AM  all   49.82    0.00   13.45    0.03    0.00    0.63    0.00    0.00    0.00   36.07
12:47:44 AM  all   58.38    0.00   19.99    0.03    0.00    0.50    0.00    0.00    0.00   21.10
12:48:44 AM  all   56.11    0.00   22.45    0.04    0.00    0.51    0.00    0.00    0.00   20.90
12:49:44 AM  all   54.01    0.00   17.60    0.04    0.00    0.52    0.00    0.00    0.00   27.83
12:50:44 AM  all   48.53    0.00   14.35    0.05    0.00    0.67    0.00    0.00    0.00   36.40
12:51:44 AM  all   46.34    0.00   13.46    0.04    0.00    0.60    0.00    0.00    0.00   39.57
Average:     all   50.36    0.00   16.92    0.04    0.00    0.54    0.00    0.00    0.00   32.14
