Linux 5.4.0-164-generic (node-2.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/29/2024 	_x86_64_	(40 CPU)

01:10:45 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:45 AM  all   16.80    0.00   13.11    0.06    0.00    0.46    0.00    0.00    0.00   69.56
01:12:45 AM  all   53.48    0.00   14.82    0.07    0.00    0.53    0.00    0.00    0.00   31.09
01:13:45 AM  all   55.24    0.00   20.55    0.04    0.00    0.44    0.00    0.00    0.00   23.73
01:14:45 AM  all   61.06    0.00   19.92    0.04    0.00    0.46    0.00    0.00    0.00   18.53
01:15:45 AM  all   55.10    0.00   18.23    0.04    0.00    0.49    0.00    0.00    0.00   26.14
01:16:45 AM  all   48.66    0.00   15.51    0.05    0.00    0.68    0.00    0.00    0.00   35.11
01:17:45 AM  all   48.98    0.00   13.49    0.03    0.00    0.61    0.00    0.00    0.00   36.89
01:18:45 AM  all   58.60    0.00   20.19    0.04    0.00    0.46    0.00    0.00    0.00   20.71
01:19:45 AM  all   56.78    0.00   22.26    0.04    0.00    0.45    0.00    0.00    0.00   20.48
01:20:45 AM  all   53.28    0.00   17.59    0.04    0.00    0.54    0.00    0.00    0.00   28.55
01:21:45 AM  all   48.46    0.00   14.41    0.04    0.00    0.62    0.00    0.00    0.00   36.47
01:22:45 AM  all   46.04    0.00   13.49    0.04    0.00    0.60    0.00    0.00    0.00   39.83
Average:     all   50.21    0.00   16.97    0.04    0.00    0.53    0.00    0.00    0.00   32.25
