Linux 5.4.0-164-generic (node-1.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/28/2024 	_x86_64_	(40 CPU)

08:16:02 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:17:02 PM  all   21.98    0.00   14.13    0.03    0.00    0.31    0.00    0.00    0.00   63.55
08:18:02 PM  all   39.77    0.00   14.64    0.06    0.00    0.36    0.00    0.00    0.00   45.17
08:19:02 PM  all   40.45    0.00   14.23    0.03    0.00    0.37    0.00    0.00    0.00   44.91
08:20:02 PM  all   38.80    0.00   15.77    0.03    0.00    0.38    0.00    0.00    0.00   45.01
08:21:02 PM  all   39.56    0.00   16.27    0.03    0.00    0.46    0.00    0.00    0.00   43.69
08:22:02 PM  all   33.75    0.00   16.48    0.02    0.00    0.45    0.00    0.00    0.00   49.30
08:23:02 PM  all   37.15    0.00   15.58    0.03    0.00    0.41    0.00    0.00    0.00   46.84
08:24:02 PM  all   37.74    0.00   15.73    0.02    0.00    0.41    0.00    0.00    0.00   46.10
08:25:02 PM  all   37.20    0.00   16.06    0.03    0.00    0.42    0.00    0.00    0.00   46.28
08:26:02 PM  all   39.57    0.00   15.13    0.04    0.00    0.39    0.00    0.00    0.00   44.88
08:27:02 PM  all   34.65    0.00   15.70    0.03    0.00    0.42    0.00    0.00    0.00   49.21
08:28:02 PM  all   33.33    0.00   15.81    0.02    0.00    0.42    0.00    0.00    0.00   50.41
Average:     all   36.16    0.00   15.46    0.03    0.00    0.40    0.00    0.00    0.00   47.95
