Linux 5.4.0-164-generic (node-5.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/28/2024 	_x86_64_	(40 CPU)

06:40:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:41:48 PM  all   10.17    0.00    9.43    0.02    0.00    0.90    0.00    0.00    0.00   79.49
06:42:48 PM  all   10.93    0.00    9.59    0.02    0.00    0.94    0.00    0.00    0.00   78.52
06:43:48 PM  all    9.85    0.00    9.48    0.02    0.00    0.90    0.00    0.00    0.00   79.75
06:44:48 PM  all    9.95    0.00    9.35    0.02    0.00    0.93    0.00    0.00    0.00   79.76
06:45:48 PM  all    9.55    0.00    9.32    0.02    0.00    0.91    0.00    0.00    0.00   80.20
06:46:48 PM  all   10.30    0.00    9.61    0.02    0.00    0.85    0.00    0.00    0.00   79.22
06:47:48 PM  all    9.75    0.00    9.54    0.02    0.00    0.88    0.00    0.00    0.00   79.81
06:48:48 PM  all    9.93    0.00    9.66    0.01    0.00    0.86    0.00    0.00    0.00   79.53
06:49:48 PM  all    9.93    0.00    9.60    0.02    0.00    0.87    0.00    0.00    0.00   79.58
06:50:48 PM  all    9.53    0.00    9.61    0.02    0.00    0.89    0.00    0.00    0.00   79.96
06:51:48 PM  all    9.54    0.00    9.49    0.02    0.00    0.88    0.00    0.00    0.00   80.07
06:52:48 PM  all   10.55    0.00    9.71    0.02    0.00    0.89    0.00    0.00    0.00   78.83
Average:     all   10.00    0.00    9.53    0.02    0.00    0.89    0.00    0.00    0.00   79.56
