Linux 5.4.0-164-generic (node-4.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/29/2024 	_x86_64_	(40 CPU)

03:50:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:51:26 AM  all   20.22    0.00   11.60    0.05    0.00    0.40    0.00    0.00    0.00   67.74
03:52:26 AM  all   54.21    0.00   13.76    0.08    0.00    0.53    0.00    0.00    0.00   31.42
03:53:26 AM  all   59.25    0.00   19.54    0.04    0.00    0.49    0.00    0.00    0.00   20.68
03:54:26 AM  all   62.04    0.00   19.39    0.03    0.00    0.49    0.00    0.00    0.00   18.05
03:55:26 AM  all   60.04    0.00   16.64    0.02    0.00    0.58    0.00    0.00    0.00   22.72
03:56:26 AM  all   49.75    0.00   14.23    0.05    0.00    0.68    0.00    0.00    0.00   35.28
03:57:26 AM  all   53.87    0.00   12.57    0.03    0.00    0.59    0.00    0.00    0.00   32.94
03:58:26 AM  all   58.91    0.00   19.88    0.03    0.00    0.44    0.00    0.00    0.00   20.75
03:59:26 AM  all   57.70    0.00   21.48    0.02    0.00    0.49    0.00    0.00    0.00   20.31
04:00:26 AM  all   58.40    0.00   16.70    0.04    0.00    0.58    0.00    0.00    0.00   24.28
04:01:26 AM  all   49.49    0.00   12.97    0.04    0.00    0.62    0.00    0.00    0.00   36.88
04:02:26 AM  all   51.56    0.00   13.00    0.03    0.00    0.68    0.00    0.00    0.00   34.73
Average:     all   52.96    0.00   15.98    0.04    0.00    0.55    0.00    0.00    0.00   30.48
