Linux 5.4.0-164-generic (node-4.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/28/2024 	_x86_64_	(40 CPU)

10:29:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:30:29 PM  all   13.21    0.00   11.36    0.03    0.00    0.59    0.00    0.00    0.00   74.81
10:31:29 PM  all   33.38    0.00   13.26    0.07    0.00    0.47    0.00    0.00    0.00   52.82
10:32:29 PM  all   33.68    0.00   12.63    0.04    0.00    0.50    0.00    0.00    0.00   53.16
10:33:29 PM  all   33.27    0.00   12.40    0.03    0.00    0.51    0.00    0.00    0.00   53.79
10:34:29 PM  all   33.97    0.00   13.26    0.03    0.00    0.55    0.00    0.00    0.00   52.19
10:35:29 PM  all   27.54    0.00   12.82    0.03    0.00    0.61    0.00    0.00    0.00   59.00
10:36:29 PM  all   30.89    0.00   11.89    0.02    0.00    0.49    0.00    0.00    0.00   56.69
10:37:29 PM  all   31.71    0.00   11.91    0.04    0.00    0.51    0.00    0.00    0.00   55.84
10:38:29 PM  all   31.20    0.00   12.47    0.03    0.00    0.54    0.00    0.00    0.00   55.76
10:39:29 PM  all   33.79    0.00   11.89    0.03    0.00    0.53    0.00    0.00    0.00   53.75
10:40:29 PM  all   28.05    0.00   11.93    0.03    0.00    0.60    0.00    0.00    0.00   59.39
10:41:29 PM  all   26.12    0.00   11.64    0.03    0.00    0.60    0.00    0.00    0.00   61.61
Average:     all   29.72    0.00   12.29    0.03    0.00    0.54    0.00    0.00    0.00   57.41
