Linux 5.4.0-164-generic (node-5.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/28/2024 	_x86_64_	(40 CPU)

07:11:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:12:42 PM  all   10.78    0.00    9.05    0.02    0.00    0.93    0.00    0.00    0.00   79.22
07:13:42 PM  all   11.47    0.00    9.25    0.02    0.00    0.91    0.00    0.00    0.00   78.34
07:14:42 PM  all   10.57    0.00    8.93    0.02    0.00    0.96    0.00    0.00    0.00   79.52
07:15:42 PM  all   10.20    0.00    8.88    0.01    0.00    0.97    0.00    0.00    0.00   79.94
07:16:42 PM  all   10.09    0.00    8.81    0.02    0.00    0.94    0.00    0.00    0.00   80.15
07:17:42 PM  all   11.18    0.00    9.18    0.02    0.00    0.92    0.00    0.00    0.00   78.70
07:18:42 PM  all   10.30    0.00    8.95    0.02    0.00    0.94    0.00    0.00    0.00   79.80
07:19:42 PM  all   10.67    0.00    9.07    0.01    0.00    0.94    0.00    0.00    0.00   79.31
07:20:42 PM  all   10.30    0.00    9.00    0.02    0.00    0.91    0.00    0.00    0.00   79.77
07:21:42 PM  all   10.18    0.00    8.96    0.01    0.00    0.93    0.00    0.00    0.00   79.92
07:22:42 PM  all   10.12    0.00    8.97    0.01    0.00    0.91    0.00    0.00    0.00   79.98
07:23:42 PM  all   11.02    0.00    9.16    0.02    0.00    0.91    0.00    0.00    0.00   78.89
Average:     all   10.57    0.00    9.02    0.02    0.00    0.93    0.00    0.00    0.00   79.46
