Linux 5.4.0-164-generic (node-4.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/28/2024 	_x86_64_	(40 CPU)

09:43:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:44:04 PM  all   13.23    0.00   11.10    0.03    0.00    0.59    0.00    0.00    0.00   75.04
09:45:04 PM  all   32.89    0.00   12.75    0.07    0.00    0.49    0.00    0.00    0.00   53.80
09:46:04 PM  all   33.51    0.00   12.02    0.03    0.00    0.51    0.00    0.00    0.00   53.93
09:47:04 PM  all   33.04    0.00   12.19    0.04    0.00    0.51    0.00    0.00    0.00   54.21
09:48:04 PM  all   33.85    0.00   12.74    0.03    0.00    0.57    0.00    0.00    0.00   52.82
09:49:04 PM  all   27.56    0.00   12.43    0.03    0.00    0.59    0.00    0.00    0.00   59.38
09:50:04 PM  all   30.88    0.00   11.60    0.03    0.00    0.52    0.00    0.00    0.00   56.97
09:51:04 PM  all   31.75    0.00   11.52    0.04    0.00    0.52    0.00    0.00    0.00   56.17
09:52:04 PM  all   30.72    0.00   12.05    0.03    0.00    0.58    0.00    0.00    0.00   56.63
09:53:04 PM  all   33.54    0.00   11.61    0.03    0.00    0.57    0.00    0.00    0.00   54.25
09:54:04 PM  all   27.86    0.00   11.67    0.03    0.00    0.63    0.00    0.00    0.00   59.81
09:55:04 PM  all   26.11    0.00   11.28    0.03    0.00    0.61    0.00    0.00    0.00   61.97
Average:     all   29.57    0.00   11.91    0.03    0.00    0.56    0.00    0.00    0.00   57.92
