Linux 5.4.0-164-generic (node-4.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/28/2024 	_x86_64_	(40 CPU)

06:26:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:27:54 PM  all    9.05    0.00    7.86    0.02    0.00    0.89    0.00    0.00    0.00   82.18
06:28:54 PM  all   10.06    0.00    8.04    0.02    0.00    0.89    0.00    0.00    0.00   80.99
06:29:54 PM  all    9.08    0.00    7.78    0.01    0.00    0.87    0.00    0.00    0.00   82.26
06:30:54 PM  all    8.74    0.00    7.68    0.02    0.00    0.89    0.00    0.00    0.00   82.67
06:31:54 PM  all    8.52    0.00    7.52    0.02    0.00    0.90    0.00    0.00    0.00   83.04
06:32:54 PM  all    9.47    0.00    7.83    0.02    0.00    0.89    0.00    0.00    0.00   81.80
06:33:54 PM  all    8.78    0.00    7.75    0.02    0.00    0.90    0.00    0.00    0.00   82.55
06:34:54 PM  all    9.08    0.00    7.85    0.02    0.00    0.89    0.00    0.00    0.00   82.16
06:35:54 PM  all    8.79    0.00    7.84    0.02    0.00    0.89    0.00    0.00    0.00   82.46
06:36:54 PM  all    8.63    0.00    7.73    0.02    0.00    0.88    0.00    0.00    0.00   82.75
06:37:54 PM  all    8.50    0.00    7.81    0.02    0.00    0.89    0.00    0.00    0.00   82.79
06:38:54 PM  all    9.49    0.00    7.99    0.02    0.00    0.87    0.00    0.00    0.00   81.64
Average:     all    9.01    0.00    7.81    0.02    0.00    0.89    0.00    0.00    0.00   82.27
