Linux 5.4.0-164-generic (node-3.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/29/2024 	_x86_64_	(40 CPU)

01:52:28 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:28 AM  all   16.56    0.00   12.49    0.06    0.00    0.46    0.00    0.00    0.00   70.44
01:54:28 AM  all   51.22    0.00   14.18    0.07    0.00    0.56    0.00    0.00    0.00   33.97
01:55:28 AM  all   57.62    0.00   20.33    0.04    0.00    0.52    0.00    0.00    0.00   21.48
01:56:28 AM  all   60.24    0.00   19.94    0.04    0.00    0.49    0.00    0.00    0.00   19.29
01:57:28 AM  all   56.95    0.00   17.75    0.03    0.00    0.57    0.00    0.00    0.00   24.70
01:58:28 AM  all   46.62    0.00   14.84    0.05    0.00    0.69    0.00    0.00    0.00   37.80
01:59:28 AM  all   49.65    0.00   13.18    0.03    0.00    0.60    0.00    0.00    0.00   36.54
02:00:28 AM  all   56.72    0.00   19.22    0.05    0.00    0.51    0.00    0.00    0.00   23.51
02:01:28 AM  all   56.31    0.00   22.99    0.04    0.00    0.45    0.00    0.00    0.00   20.22
02:02:28 AM  all   54.65    0.00   17.71    0.03    0.00    0.54    0.00    0.00    0.00   27.06
02:03:28 AM  all   45.83    0.00   13.72    0.05    0.00    0.68    0.00    0.00    0.00   39.72
02:04:28 AM  all   46.35    0.00   13.51    0.03    0.00    0.70    0.00    0.00    0.00   39.41
Average:     all   49.90    0.00   16.66    0.04    0.00    0.56    0.00    0.00    0.00   32.84
