Linux 5.4.0-164-generic (node-3.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/28/2024 	_x86_64_	(40 CPU)

06:14:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:15:20 PM  all   13.36    0.00    7.33    0.03    0.00    1.00    0.00    0.00    0.00   78.28
06:16:20 PM  all   13.92    0.00    7.39    0.03    0.00    1.00    0.00    0.00    0.00   77.66
06:17:20 PM  all   13.09    0.00    7.16    0.03    0.00    0.99    0.00    0.00    0.00   78.74
06:18:20 PM  all   12.82    0.00    7.11    0.03    0.00    0.99    0.00    0.00    0.00   79.04
06:19:20 PM  all   12.48    0.00    7.03    0.02    0.00    0.98    0.00    0.00    0.00   79.48
06:20:20 PM  all   13.70    0.00    7.36    0.03    0.00    1.00    0.00    0.00    0.00   77.92
06:21:20 PM  all   12.95    0.00    7.15    0.03    0.00    1.01    0.00    0.00    0.00   78.87
06:22:20 PM  all   13.08    0.00    7.22    0.03    0.00    1.02    0.00    0.00    0.00   78.65
06:23:20 PM  all   12.74    0.00    7.25    0.03    0.00    1.03    0.00    0.00    0.00   78.95
06:24:20 PM  all   12.52    0.00    7.12    0.03    0.00    1.01    0.00    0.00    0.00   79.32
06:25:20 PM  all   12.80    0.00    7.19    0.03    0.00    0.98    0.00    0.00    0.00   79.00
06:26:20 PM  all   13.56    0.00    7.35    0.03    0.00    0.95    0.00    0.00    0.00   78.11
Average:     all   13.08    0.00    7.22    0.03    0.00    1.00    0.00    0.00    0.00   78.67
