Linux 5.4.0-164-generic (node-3.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/28/2024 	_x86_64_	(40 CPU)

09:18:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:19:25 PM  all   13.18    0.00   10.56    0.03    0.00    0.61    0.00    0.00    0.00   75.62
09:20:25 PM  all   33.17    0.00   12.55    0.07    0.00    0.46    0.00    0.00    0.00   53.74
09:21:25 PM  all   33.94    0.00   11.80    0.04    0.00    0.48    0.00    0.00    0.00   53.73
09:22:25 PM  all   33.19    0.00   11.88    0.03    0.00    0.49    0.00    0.00    0.00   54.41
09:23:25 PM  all   34.13    0.00   12.62    0.03    0.00    0.55    0.00    0.00    0.00   52.67
09:24:25 PM  all   27.53    0.00   12.08    0.03    0.00    0.55    0.00    0.00    0.00   59.81
09:25:25 PM  all   31.19    0.00   11.40    0.03    0.00    0.49    0.00    0.00    0.00   56.89
09:26:25 PM  all   31.82    0.00   11.27    0.03    0.00    0.54    0.00    0.00    0.00   56.35
09:27:25 PM  all   31.11    0.00   11.91    0.03    0.00    0.59    0.00    0.00    0.00   56.36
09:28:25 PM  all   34.02    0.00   11.32    0.03    0.00    0.54    0.00    0.00    0.00   54.09
09:29:25 PM  all   28.25    0.00   11.37    0.03    0.00    0.59    0.00    0.00    0.00   59.75
09:30:25 PM  all   26.33    0.00   11.05    0.03    0.00    0.62    0.00    0.00    0.00   61.97
Average:     all   29.81    0.00   11.65    0.04    0.00    0.54    0.00    0.00    0.00   57.96
