Linux 5.4.0-164-generic (node-3.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/28/2024 	_x86_64_	(40 CPU)

10:04:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:05:52 PM  all   16.12    0.00   10.80    0.03    0.00    0.56    0.00    0.00    0.00   72.49
10:06:52 PM  all   35.48    0.00   12.72    0.07    0.00    0.47    0.00    0.00    0.00   51.27
10:07:52 PM  all   35.73    0.00   11.97    0.03    0.00    0.47    0.00    0.00    0.00   51.80
10:08:52 PM  all   35.68    0.00   12.31    0.03    0.00    0.48    0.00    0.00    0.00   51.50
10:09:52 PM  all   36.86    0.00   12.75    0.03    0.00    0.54    0.00    0.00    0.00   49.81
10:10:52 PM  all   30.14    0.00   12.26    0.03    0.00    0.54    0.00    0.00    0.00   57.03
10:11:52 PM  all   33.73    0.00   11.58    0.02    0.00    0.48    0.00    0.00    0.00   54.19
10:12:52 PM  all   34.52    0.00   11.55    0.03    0.00    0.48    0.00    0.00    0.00   53.42
10:13:52 PM  all   33.90    0.00   12.03    0.03    0.00    0.55    0.00    0.00    0.00   53.49
10:14:52 PM  all   36.97    0.00   11.52    0.03    0.00    0.49    0.00    0.00    0.00   50.99
10:15:52 PM  all   30.67    0.00   11.49    0.03    0.00    0.57    0.00    0.00    0.00   57.24
10:16:52 PM  all   28.68    0.00   11.36    0.03    0.00    0.55    0.00    0.00    0.00   59.38
Average:     all   32.37    0.00   11.86    0.03    0.00    0.51    0.00    0.00    0.00   55.22
