Linux 5.4.0-164-generic (node-5.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/28/2024 	_x86_64_	(40 CPU)

10:32:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:33:11 PM  all   18.32    0.00   15.08    0.04    0.00    0.46    0.00    0.00    0.00   66.09
10:34:11 PM  all   50.97    0.00   16.57    0.07    0.00    0.53    0.00    0.00    0.00   31.87
10:35:11 PM  all   57.93    0.00   21.54    0.04    0.00    0.49    0.00    0.00    0.00   20.00
10:36:11 PM  all   57.36    0.00   24.37    0.02    0.00    0.42    0.00    0.00    0.00   17.83
10:37:11 PM  all   57.12    0.00   21.63    0.02    0.00    0.55    0.00    0.00    0.00   20.68
10:38:11 PM  all   44.80    0.00   18.21    0.04    0.00    0.64    0.00    0.00    0.00   36.31
10:39:11 PM  all   50.74    0.00   17.52    0.02    0.00    0.58    0.00    0.00    0.00   31.14
10:40:11 PM  all   58.22    0.00   23.03    0.03    0.00    0.39    0.00    0.00    0.00   18.34
10:41:11 PM  all   55.99    0.00   26.04    0.02    0.00    0.40    0.00    0.00    0.00   17.56
10:42:11 PM  all   55.44    0.00   21.65    0.03    0.00    0.52    0.00    0.00    0.00   22.35
10:43:11 PM  all   44.94    0.00   17.88    0.02    0.00    0.61    0.00    0.00    0.00   36.55
10:44:11 PM  all   47.47    0.00   17.87    0.04    0.00    0.59    0.00    0.00    0.00   34.04
Average:     all   49.95    0.00   20.12    0.03    0.00    0.51    0.00    0.00    0.00   29.39
