Linux 5.4.0-164-generic (node-1.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

10:39:41 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:40:41 AM  all   16.29    0.00   13.17    0.05    0.00    0.45    0.00    0.00    0.00   70.03
10:41:41 AM  all   50.91    0.00   15.35    0.09    0.00    0.57    0.00    0.00    0.00   33.08
10:42:41 AM  all   54.47    0.00   20.21    0.05    0.00    0.48    0.00    0.00    0.00   24.79
10:43:41 AM  all   60.64    0.00   20.27    0.04    0.00    0.50    0.00    0.00    0.00   18.56
10:44:41 AM  all   54.22    0.00   17.93    0.03    0.00    0.55    0.00    0.00    0.00   27.26
10:45:41 AM  all   48.04    0.00   15.82    0.05    0.00    0.70    0.00    0.00    0.00   35.39
10:46:41 AM  all   48.98    0.00   13.61    0.04    0.00    0.62    0.00    0.00    0.00   36.76
10:47:41 AM  all   57.10    0.00   20.47    0.04    0.00    0.47    0.00    0.00    0.00   21.91
10:48:41 AM  all   55.90    0.00   22.70    0.04    0.00    0.44    0.00    0.00    0.00   20.93
10:49:41 AM  all   53.76    0.00   18.23    0.03    0.00    0.55    0.00    0.00    0.00   27.43
10:50:41 AM  all   46.20    0.00   14.25    0.05    0.00    0.68    0.00    0.00    0.00   38.82
10:51:41 AM  all   46.43    0.00   13.98    0.03    0.00    0.64    0.00    0.00    0.00   38.92
Average:     all   49.41    0.00   17.17    0.04    0.00    0.55    0.00    0.00    0.00   32.82
