Linux 5.4.0-164-generic (node-5.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

05:59:32 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:00:32 AM  all   17.60    0.00   14.41    0.07    0.00    0.33    0.00    0.00    0.00   67.59
06:01:32 AM  all   51.01    0.00   14.66    0.06    0.00    0.58    0.00    0.00    0.00   33.69
06:02:32 AM  all   56.35    0.00   20.33    0.04    0.00    0.43    0.00    0.00    0.00   22.85
06:03:32 AM  all   59.35    0.00   20.48    0.04    0.00    0.50    0.00    0.00    0.00   19.64
06:04:32 AM  all   53.14    0.00   18.14    0.04    0.00    0.50    0.00    0.00    0.00   28.18
06:05:32 AM  all   45.55    0.00   15.11    0.04    0.00    0.69    0.00    0.00    0.00   38.61
06:06:32 AM  all   49.23    0.00   13.67    0.02    0.00    0.61    0.00    0.00    0.00   36.46
06:07:32 AM  all   57.88    0.00   20.37    0.04    0.00    0.42    0.00    0.00    0.00   21.29
06:08:32 AM  all   57.66    0.00   22.56    0.02    0.00    0.47    0.00    0.00    0.00   19.28
06:09:32 AM  all   53.56    0.00   18.54    0.04    0.00    0.50    0.00    0.00    0.00   27.37
06:10:32 AM  all   45.36    0.00   14.75    0.03    0.00    0.65    0.00    0.00    0.00   39.20
06:11:32 AM  all   44.88    0.00   13.74    0.03    0.00    0.62    0.00    0.00    0.00   40.73
Average:     all   49.32    0.00   17.24    0.04    0.00    0.52    0.00    0.00    0.00   32.89
