Linux 5.4.0-164-generic (node-4.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

05:13:35 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:14:35 AM  all   13.44    0.00   11.38    0.03    0.00    0.55    0.00    0.00    0.00   74.59
05:15:35 AM  all   32.98    0.00   13.43    0.07    0.00    0.46    0.00    0.00    0.00   53.06
05:16:35 AM  all   33.19    0.00   12.55    0.03    0.00    0.45    0.00    0.00    0.00   53.78
05:17:35 AM  all   32.79    0.00   12.71    0.03    0.00    0.46    0.00    0.00    0.00   54.00
05:18:35 AM  all   34.44    0.00   13.45    0.03    0.00    0.54    0.00    0.00    0.00   51.54
05:19:35 AM  all   27.81    0.00   12.80    0.03    0.00    0.57    0.00    0.00    0.00   58.80
05:20:35 AM  all   31.49    0.00   12.09    0.03    0.00    0.52    0.00    0.00    0.00   55.88
05:21:35 AM  all   32.35    0.00   12.06    0.03    0.00    0.50    0.00    0.00    0.00   55.05
05:22:35 AM  all   30.80    0.00   12.53    0.03    0.00    0.59    0.00    0.00    0.00   56.05
05:23:35 AM  all   34.23    0.00   12.02    0.03    0.00    0.54    0.00    0.00    0.00   53.18
05:24:35 AM  all   28.45    0.00   12.08    0.04    0.00    0.58    0.00    0.00    0.00   58.86
05:25:35 AM  all   26.69    0.00   11.87    0.02    0.00    0.61    0.00    0.00    0.00   60.81
Average:     all   29.88    0.00   12.41    0.03    0.00    0.53    0.00    0.00    0.00   57.14
