Linux 5.4.0-164-generic (node-3.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

04:58:07 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:59:07 AM  all   13.33    0.00   11.44    0.03    0.00    0.58    0.00    0.00    0.00   74.61
05:00:07 AM  all   32.87    0.00   12.81    0.07    0.00    0.51    0.00    0.00    0.00   53.74
05:01:07 AM  all   33.32    0.00   12.64    0.03    0.00    0.47    0.00    0.00    0.00   53.53
05:02:07 AM  all   32.84    0.00   12.52    0.03    0.00    0.49    0.00    0.00    0.00   54.12
05:03:07 AM  all   34.34    0.00   13.17    0.03    0.00    0.54    0.00    0.00    0.00   51.92
05:04:07 AM  all   27.33    0.00   12.70    0.03    0.00    0.57    0.00    0.00    0.00   59.38
05:05:07 AM  all   31.23    0.00   12.10    0.03    0.00    0.53    0.00    0.00    0.00   56.11
05:06:07 AM  all   31.62    0.00   11.98    0.03    0.00    0.52    0.00    0.00    0.00   55.85
05:07:07 AM  all   30.30    0.00   12.46    0.03    0.00    0.59    0.00    0.00    0.00   56.62
05:08:07 AM  all   33.99    0.00   11.80    0.03    0.00    0.52    0.00    0.00    0.00   53.65
05:09:07 AM  all   27.78    0.00   11.91    0.03    0.00    0.62    0.00    0.00    0.00   59.66
05:10:07 AM  all   25.88    0.00   11.76    0.03    0.00    0.60    0.00    0.00    0.00   61.74
Average:     all   29.56    0.00   12.27    0.03    0.00    0.55    0.00    0.00    0.00   57.59
