Linux 5.4.0-164-generic (node-3.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

02:59:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:00:56 AM  all    9.22    0.00    9.33    0.02    0.00    0.88    0.00    0.00    0.00   80.54
03:01:56 AM  all   10.33    0.00    9.67    0.02    0.00    0.84    0.00    0.00    0.00   79.14
03:02:56 AM  all   10.06    0.00    9.38    0.02    0.00    0.84    0.00    0.00    0.00   79.70
03:03:56 AM  all    9.20    0.00    9.33    0.02    0.00    0.85    0.00    0.00    0.00   80.61
03:04:56 AM  all    8.73    0.00    9.06    0.01    0.00    0.87    0.00    0.00    0.00   81.32
03:05:56 AM  all   10.52    0.00    9.53    0.02    0.00    0.89    0.00    0.00    0.00   79.04
03:06:56 AM  all    8.94    0.00    9.30    0.02    0.00    0.92    0.00    0.00    0.00   80.83
03:07:56 AM  all    9.89    0.00    9.62    0.02    0.00    0.90    0.00    0.00    0.00   79.57
03:08:56 AM  all    9.09    0.00    9.39    0.01    0.00    0.85    0.00    0.00    0.00   80.66
03:09:56 AM  all    8.75    0.00    9.23    0.01    0.00    0.86    0.00    0.00    0.00   81.14
03:10:56 AM  all    8.82    0.00    9.21    0.01    0.00    0.86    0.00    0.00    0.00   81.09
03:11:56 AM  all   10.54    0.00    9.65    0.02    0.00    0.87    0.00    0.00    0.00   78.91
Average:     all    9.51    0.00    9.39    0.02    0.00    0.87    0.00    0.00    0.00   80.21
