Linux 5.4.0-164-generic (node-4.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

04:26:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:27:54 AM  all   21.46    0.00   14.93    0.03    0.00    0.34    0.00    0.00    0.00   63.24
04:28:54 AM  all   39.48    0.00   15.85    0.06    0.00    0.35    0.00    0.00    0.00   44.26
04:29:54 AM  all   40.17    0.00   14.91    0.03    0.00    0.39    0.00    0.00    0.00   44.50
04:30:54 AM  all   38.40    0.00   16.66    0.03    0.00    0.41    0.00    0.00    0.00   44.49
04:31:54 AM  all   39.37    0.00   17.15    0.02    0.00    0.46    0.00    0.00    0.00   43.00
04:32:54 AM  all   34.06    0.00   17.18    0.03    0.00    0.41    0.00    0.00    0.00   48.32
04:33:54 AM  all   36.86    0.00   16.39    0.02    0.00    0.37    0.00    0.00    0.00   46.36
04:34:54 AM  all   37.51    0.00   16.17    0.02    0.00    0.37    0.00    0.00    0.00   45.92
04:35:54 AM  all   36.88    0.00   16.81    0.03    0.00    0.45    0.00    0.00    0.00   45.83
04:36:54 AM  all   39.80    0.00   16.00    0.03    0.00    0.42    0.00    0.00    0.00   43.75
04:37:54 AM  all   34.45    0.00   16.55    0.03    0.00    0.45    0.00    0.00    0.00   48.51
04:38:54 AM  all   33.31    0.00   16.62    0.03    0.00    0.40    0.00    0.00    0.00   49.63
Average:     all   35.98    0.00   16.27    0.03    0.00    0.40    0.00    0.00    0.00   47.32
