Linux 5.4.0-164-generic (node-4.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

03:46:07 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:47:07 AM  all   25.71    0.00   21.15    0.02    0.00    0.46    0.00    0.00    0.00   52.66
03:48:07 AM  all   24.55    0.00   20.07    0.02    0.00    0.53    0.00    0.00    0.00   54.83
03:49:07 AM  all   24.95    0.00   20.44    0.02    0.00    0.50    0.00    0.00    0.00   54.10
03:50:07 AM  all   23.91    0.00   21.00    0.02    0.00    0.48    0.00    0.00    0.00   54.59
03:51:07 AM  all   23.35    0.00   21.11    0.01    0.00    0.46    0.00    0.00    0.00   55.06
03:52:07 AM  all   23.61    0.00   21.09    0.01    0.00    0.48    0.00    0.00    0.00   54.80
03:53:07 AM  all   23.34    0.00   21.22    0.02    0.00    0.53    0.00    0.00    0.00   54.89
03:54:07 AM  all   23.78    0.00   21.18    0.01    0.00    0.49    0.00    0.00    0.00   54.54
03:55:07 AM  all   24.05    0.00   21.12    0.02    0.00    0.48    0.00    0.00    0.00   54.34
03:56:07 AM  all   24.27    0.00   20.83    0.01    0.00    0.50    0.00    0.00    0.00   54.39
03:57:07 AM  all   23.55    0.00   20.96    0.01    0.00    0.48    0.00    0.00    0.00   55.00
03:58:07 AM  all   24.63    0.00   21.40    0.02    0.00    0.48    0.00    0.00    0.00   53.47
Average:     all   24.14    0.00   20.96    0.01    0.00    0.49    0.00    0.00    0.00   54.39
