# started on Wed Nov 22 18:05:12 2023

#           time             counts unit events
   240.001739089     36,682,449,250      LLC-loads                                                     (50.00%)
   240.001739089      4,115,877,039      LLC-load-misses           #   11.22% of all LL-cache hits     (50.00%)
   240.001739089     11,566,158,478      LLC-stores                                                    (50.00%)
   240.001739089      4,632,143,785      LLC-store-misses                                              (50.00%)
   240.001739089    <not supported>      LLC-prefetch-misses                                         
   300.002655622     35,502,265,617      LLC-loads                                                     (50.00%)
   300.002655622      4,213,733,980      LLC-load-misses           #   11.67% of all LL-cache hits     (50.00%)
   300.002655622     11,546,007,160      LLC-stores                                                    (50.00%)
   300.002655622      4,502,989,977      LLC-store-misses                                              (50.00%)
   300.002655622    <not supported>      LLC-prefetch-misses                                         
   360.003399484     35,059,694,933      LLC-loads                                                     (50.00%)
   360.003399484      4,340,630,617      LLC-load-misses           #   12.14% of all LL-cache hits     (50.00%)
   360.003399484     11,458,801,128      LLC-stores                                                    (50.00%)
   360.003399484      4,426,148,883      LLC-store-misses                                              (50.00%)
   360.003399484    <not supported>      LLC-prefetch-misses                                         
   420.004151084     34,482,178,086      LLC-loads                                                     (50.00%)
   420.004151084      4,355,547,355      LLC-load-misses           #   12.29% of all LL-cache hits     (50.00%)
   420.004151084     11,019,739,078      LLC-stores                                                    (50.00%)
   420.004151084      4,334,126,481      LLC-store-misses                                              (50.00%)
   420.004151084    <not supported>      LLC-prefetch-misses                                         
   480.004902923     34,887,666,476      LLC-loads                                                     (50.00%)
   480.004902923      4,114,528,828      LLC-load-misses           #   11.65% of all LL-cache hits     (50.00%)
   480.004902923     10,971,286,350      LLC-stores                                                    (50.00%)
   480.004902923      4,327,332,789      LLC-store-misses                                              (50.00%)
   480.004902923    <not supported>      LLC-prefetch-misses                                         
   540.005989528     35,328,497,700      LLC-loads                                                     (50.00%)
   540.005989528      4,096,891,151      LLC-load-misses           #   11.60% of all LL-cache hits     (50.00%)
   540.005989528     11,226,918,033      LLC-stores                                                    (50.00%)
   540.005989528      4,419,570,927      LLC-store-misses                                              (50.00%)
   540.005989528    <not supported>      LLC-prefetch-misses                                         
   600.006787594     35,081,522,951      LLC-loads                                                     (50.00%)
   600.006787594      4,372,814,609      LLC-load-misses           #   12.39% of all LL-cache hits     (50.00%)
   600.006787594     11,224,483,475      LLC-stores                                                    (50.00%)
   600.006787594      4,377,990,638      LLC-store-misses                                              (50.00%)
   600.006787594    <not supported>      LLC-prefetch-misses                                         
   660.007531438     32,876,905,401      LLC-loads                                                     (50.00%)
   660.007531438      4,700,416,828      LLC-load-misses           #   13.43% of all LL-cache hits     (50.00%)
   660.007531438     10,408,553,208      LLC-stores                                                    (50.00%)
   660.007531438      4,115,599,350      LLC-store-misses                                              (50.00%)
   660.007531438    <not supported>      LLC-prefetch-misses                                         
   720.008319706     32,694,297,696      LLC-loads                                                     (50.00%)
   720.008319706      4,765,249,371      LLC-load-misses           #   13.72% of all LL-cache hits     (50.00%)
