# started on Wed Nov 22 15:34:50 2023

#           time             counts unit events
   240.003886148      3,384,915,129      LLC-loads                                                     (50.00%)
   240.003886148      1,138,630,510      LLC-load-misses           #   33.64% of all LL-cache hits     (50.00%)
   240.003886148      1,266,499,865      LLC-stores                                                    (50.00%)
   240.003886148        492,465,482      LLC-store-misses                                              (50.00%)
   240.003886148    <not supported>      LLC-prefetch-misses                                         
   300.004914842      3,374,127,061      LLC-loads                                                     (50.00%)
   300.004914842      1,127,506,172      LLC-load-misses           #   33.36% of all LL-cache hits     (50.00%)
   300.004914842      1,259,166,494      LLC-stores                                                    (50.00%)
   300.004914842        489,488,585      LLC-store-misses                                              (50.00%)
   300.004914842    <not supported>      LLC-prefetch-misses                                         
   360.006267537      3,377,708,704      LLC-loads                                                     (50.00%)
   360.006267537      1,124,031,124      LLC-load-misses           #   33.27% of all LL-cache hits     (50.00%)
   360.006267537      1,262,555,752      LLC-stores                                                    (50.00%)
   360.006267537        491,090,714      LLC-store-misses                                              (50.00%)
   360.006267537    <not supported>      LLC-prefetch-misses                                         
   420.007866478      3,351,874,896      LLC-loads                                                     (50.00%)
   420.007866478      1,119,291,648      LLC-load-misses           #   33.19% of all LL-cache hits     (50.00%)
   420.007866478      1,257,020,900      LLC-stores                                                    (50.00%)
   420.007866478        483,701,081      LLC-store-misses                                              (50.00%)
   420.007866478    <not supported>      LLC-prefetch-misses                                         
   480.009480816      3,358,416,526      LLC-loads                                                     (50.00%)
   480.009480816      1,126,375,798      LLC-load-misses           #   33.43% of all LL-cache hits     (50.00%)
   480.009480816      1,251,887,829      LLC-stores                                                    (50.00%)
   480.009480816        482,866,629      LLC-store-misses                                              (50.00%)
   480.009480816    <not supported>      LLC-prefetch-misses                                         
   540.010995578      3,358,625,589      LLC-loads                                                     (50.00%)
   540.010995578      1,117,814,295      LLC-load-misses           #   33.19% of all LL-cache hits     (50.00%)
   540.010995578      1,253,701,643      LLC-stores                                                    (50.00%)
   540.010995578        484,518,532      LLC-store-misses                                              (50.00%)
   540.010995578    <not supported>      LLC-prefetch-misses                                         
   600.012554154      3,336,972,928      LLC-loads                                                     (50.00%)
   600.012554154      1,119,793,860      LLC-load-misses           #   33.30% of all LL-cache hits     (50.00%)
   600.012554154      1,247,709,609      LLC-stores                                                    (50.00%)
   600.012554154        487,449,548      LLC-store-misses                                              (50.00%)
   600.012554154    <not supported>      LLC-prefetch-misses                                         
   660.014029970      3,346,074,966      LLC-loads                                                     (50.00%)
   660.014029970      1,114,458,159      LLC-load-misses           #   33.16% of all LL-cache hits     (50.00%)
   660.014029970      1,250,825,598      LLC-stores                                                    (50.00%)
   660.014029970        487,358,852      LLC-store-misses                                              (50.00%)
   660.014029970    <not supported>      LLC-prefetch-misses                                         
   720.015365077      3,339,606,780      LLC-loads                                                     (50.00%)
   720.015365077      1,110,498,734      LLC-load-misses           #   33.06% of all LL-cache hits     (50.00%)
   720.015365077      1,250,844,449      LLC-stores                                                    (50.00%)
   720.015365077        482,178,048      LLC-store-misses                                              (50.00%)
   720.015365077    <not supported>      LLC-prefetch-misses                                         
   780.016897265      3,336,318,871      LLC-loads                                                     (50.00%)
   780.016897265      1,110,991,860      LLC-load-misses           #   33.10% of all LL-cache hits     (50.00%)
   780.016897265      1,244,309,641      LLC-stores                                                    (50.00%)
   780.016897265        479,586,289      LLC-store-misses                                              (50.00%)
   780.016897265    <not supported>      LLC-prefetch-misses                                         
   840.018623577      3,327,490,925      LLC-loads                                                     (50.00%)
   840.018623577      1,115,545,507      LLC-load-misses           #   33.26% of all LL-cache hits     (50.00%)
   840.018623577      1,247,757,218      LLC-stores                                                    (50.00%)
   840.018623577        483,039,441      LLC-store-misses                                              (50.00%)
   840.018623577    <not supported>      LLC-prefetch-misses                                         
   900.020195531      3,337,623,998      LLC-loads                                                     (50.00%)
   900.020195531      1,117,730,692      LLC-load-misses           #   33.34% of all LL-cache hits     (50.00%)
   900.020195531      1,241,960,432      LLC-stores                                                    (50.00%)
   900.020195531        480,802,540      LLC-store-misses                                              (50.00%)
   900.020195531    <not supported>      LLC-prefetch-misses                                         
   960.021776569      3,329,581,298      LLC-loads                                                     (50.00%)
