Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	11/22/2023 	_x86_64_	(40 CPU)

04:07:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:08:52 PM  all   23.08    0.00   10.38    0.01    0.00    2.84    0.00    0.00    0.00   63.69
04:09:52 PM  all   17.65    0.00    6.85    0.02    0.00    1.57    0.00    0.00    0.00   73.91
04:10:52 PM  all   17.62    0.00    7.59    0.05    0.00    1.18    0.00    0.00    0.00   73.56
04:11:52 PM  all   15.70    0.00    5.78    0.03    0.00    0.62    0.00    0.00    0.00   77.86
04:12:52 PM  all   16.89    0.00   10.14    0.03    0.00    0.84    0.00    0.00    0.00   72.10
04:13:52 PM  all   14.15    0.00    6.54    0.04    0.00    0.69    0.00    0.00    0.00   78.58
04:14:52 PM  all   13.51    0.00    6.89    0.03    0.00    0.70    0.00    0.00    0.00   78.87
04:15:52 PM  all   13.88    0.00    9.70    0.04    0.00    0.47    0.00    0.00    0.00   75.90
04:16:52 PM  all    8.53    0.00   24.76    0.02    0.00    0.36    0.00    0.00    0.00   66.33
04:17:52 PM  all   15.49    0.00   31.86    0.04    0.00    0.65    0.00    0.00    0.00   51.97
04:18:52 PM  all    7.60    0.00   59.86    0.02    0.00    0.29    0.00    0.00    0.00   32.23
04:19:52 PM  all    6.28    0.00   73.58    0.01    0.00    0.14    0.00    0.00    0.00   19.99
04:20:52 PM  all    3.83    0.00   95.87    0.00    0.00    0.09    0.00    0.00    0.00    0.22
04:21:52 PM  all    2.77    0.00   97.15    0.00    0.00    0.05    0.00    0.00    0.00    0.03
04:22:52 PM  all    6.88    0.00   88.70    0.02    0.00    0.14    0.00    0.00    0.00    4.26
04:23:52 PM  all    6.40    0.00   87.75    0.01    0.00    0.14    0.00    0.00    0.00    5.71
04:24:52 PM  all    6.65    0.00   90.03    0.00    0.00    0.25    0.00    0.00    0.00    3.07
04:25:52 PM  all    6.05    0.00   91.10    0.01    0.00    0.21    0.00    0.00    0.00    2.63
04:26:52 PM  all    7.95    0.00   88.72    0.01    0.00    0.37    0.00    0.00    0.00    2.95
04:27:52 PM  all    6.54    0.00   86.38    0.01    0.00    0.27    0.00    0.00    0.00    6.79
04:28:52 PM  all    8.33    0.00   76.39    0.01    0.00    0.29    0.00    0.00    0.00   14.98
04:29:52 PM  all    9.41    0.00   80.67    0.01    0.00    0.46    0.00    0.00    0.00    9.45
04:30:52 PM  all   17.36    0.00   62.30    0.05    0.00    1.00    0.00    0.00    0.00   19.30
04:31:52 PM  all   16.92    0.00   33.73    0.05    0.00    0.70    0.00    0.00    0.00   48.60
Average:     all   11.09    0.00   52.42    0.02    0.00    0.59    0.00    0.00    0.00   35.89
