Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	11/22/2023 	_x86_64_	(40 CPU)

05:38:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:39:08 PM  all    3.46    0.00   93.47    0.00    0.00    0.09    0.00    0.00    0.00    2.98
05:40:08 PM  all    6.16    0.00   92.16    0.01    0.00    0.31    0.00    0.00    0.00    1.36
05:41:08 PM  all    4.69    0.00   94.50    0.00    0.00    0.15    0.00    0.00    0.00    0.66
05:42:08 PM  all    3.61    0.00   95.13    0.00    0.00    0.08    0.00    0.00    0.00    1.19
05:43:08 PM  all    3.62    0.00   95.60    0.00    0.00    0.12    0.00    0.00    0.00    0.66
05:44:08 PM  all    4.52    0.00   93.27    0.00    0.00    0.22    0.00    0.00    0.00    1.98
05:45:08 PM  all    4.87    0.00   94.35    0.00    0.00    0.21    0.00    0.00    0.00    0.57
05:46:08 PM  all    7.07    0.00   91.89    0.01    0.00    0.28    0.00    0.00    0.00    0.74
05:47:08 PM  all    8.10    0.00   90.57    0.01    0.00    0.28    0.00    0.00    0.00    1.03
05:48:08 PM  all    5.07    0.00   94.12    0.00    0.00    0.15    0.00    0.00    0.00    0.66
05:49:08 PM  all    4.02    0.00   95.54    0.00    0.00    0.12    0.00    0.00    0.00    0.31
05:50:08 PM  all    4.10    0.00   95.28    0.00    0.00    0.15    0.00    0.00    0.00    0.46
05:51:08 PM  all    4.02    0.00   95.31    0.00    0.00    0.15    0.00    0.00    0.00    0.52
05:52:08 PM  all    4.70    0.00   94.84    0.00    0.00    0.15    0.00    0.00    0.00    0.30
05:53:08 PM  all    3.90    0.00   94.25    0.01    0.00    0.13    0.00    0.00    0.00    1.72
05:54:08 PM  all    2.83    0.00   95.24    0.00    0.00    0.06    0.00    0.00    0.00    1.87
05:55:08 PM  all    2.53    0.00   97.33    0.00    0.00    0.06    0.00    0.00    0.00    0.09
05:56:08 PM  all    2.65    0.00   97.28    0.00    0.00    0.05    0.00    0.00    0.00    0.01
05:57:08 PM  all    3.09    0.00   96.80    0.00    0.00    0.07    0.00    0.00    0.00    0.04
05:58:08 PM  all    3.52    0.00   96.34    0.00    0.00    0.11    0.00    0.00    0.00    0.03
05:59:08 PM  all    3.12    0.00   96.69    0.00    0.00    0.13    0.00    0.00    0.00    0.07
06:00:08 PM  all    3.70    0.00   96.12    0.00    0.00    0.11    0.00    0.00    0.00    0.08
06:01:08 PM  all    3.74    0.00   95.87    0.00    0.00    0.13    0.00    0.00    0.00    0.25
06:02:08 PM  all    6.45    0.00   83.01    0.01    0.00    0.24    0.00    0.00    0.00   10.30
Average:     all    4.31    0.00   94.38    0.00    0.00    0.15    0.00    0.00    0.00    1.16
