Linux 5.4.0-164-generic (node-0.llcperf.rperf-pg0.wisc.cloudlab.us) 	11/27/2023 	_x86_64_	(40 CPU)

05:40:58 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:41:28 AM  all   22.44    0.00    9.83    0.04    0.00    1.46    0.00    0.00    0.00   66.24
05:41:58 AM  all   21.46    0.00    8.94    0.03    0.00    1.48    0.00    0.00    0.00   68.10
05:42:28 AM  all   20.88    0.00    8.76    0.03    0.00    1.41    0.00    0.00    0.00   68.92
05:42:58 AM  all   19.66    0.00    7.65    0.02    0.00    1.49    0.00    0.00    0.00   71.18
05:43:28 AM  all   19.74    0.00    7.68    0.03    0.00    1.51    0.00    0.00    0.00   71.04
05:43:58 AM  all   19.01    0.00    7.38    0.01    0.00    1.49    0.00    0.00    0.00   72.12
05:44:28 AM  all   19.36    0.00    7.77    0.01    0.00    1.50    0.00    0.00    0.00   71.36
05:44:58 AM  all   19.42    0.00    8.01    0.02    0.00    1.46    0.00    0.00    0.00   71.09
05:45:28 AM  all   19.09    0.00    7.38    0.01    0.00    1.48    0.00    0.00    0.00   72.04
05:45:58 AM  all   18.46    0.00    7.14    0.01    0.00    1.44    0.00    0.00    0.00   72.95
05:46:28 AM  all   19.43    0.00    8.29    0.03    0.00    1.41    0.00    0.00    0.00   70.85
05:46:58 AM  all   18.31    0.00    7.55    0.02    0.00    1.49    0.00    0.00    0.00   72.63
05:47:28 AM  all   18.50    0.00    7.09    0.02    0.00    1.46    0.00    0.00    0.00   72.93
05:47:58 AM  all   17.25    0.00    6.79    0.01    0.00    1.45    0.00    0.00    0.00   74.51
05:48:28 AM  all   17.24    0.00    6.58    0.01    0.00    1.50    0.00    0.00    0.00   74.68
05:48:58 AM  all   17.11    0.00    6.63    0.01    0.00    1.48    0.00    0.00    0.00   74.77
05:49:28 AM  all   17.37    0.00    6.55    0.01    0.00    1.44    0.00    0.00    0.00   74.64
05:49:58 AM  all   17.26    0.00    6.67    0.01    0.00    1.48    0.00    0.00    0.00   74.58
05:50:28 AM  all   17.25    0.00    6.63    0.01    0.00    1.45    0.00    0.00    0.00   74.66
05:50:58 AM  all   17.35    0.00    6.66    0.01    0.00    1.49    0.00    0.00    0.00   74.49
05:51:28 AM  all   17.35    0.00    6.67    0.01    0.00    1.45    0.00    0.00    0.00   74.53
05:51:58 AM  all   17.18    0.00    6.57    0.01    0.00    1.44    0.00    0.00    0.00   74.80
05:52:28 AM  all   17.28    0.00    6.53    0.01    0.00    1.46    0.00    0.00    0.00   74.72
05:52:58 AM  all   17.29    0.00    6.70    0.01    0.00    1.48    0.00    0.00    0.00   74.52
Average:     all   18.57    0.00    7.35    0.01    0.00    1.47    0.00    0.00    0.00   72.60
