Linux 5.4.0-164-generic (node-0.llcperf.rperf-pg0.wisc.cloudlab.us) 	11/27/2023 	_x86_64_	(40 CPU)

03:06:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:06:34 PM  all    5.56    0.00    2.17    0.01    0.00    0.50    0.00    0.00    0.00   91.77
03:07:04 PM  all    5.66    0.00    2.11    0.01    0.00    0.53    0.00    0.00    0.00   91.70
03:07:34 PM  all    5.73    0.00    2.14    0.00    0.00    0.49    0.00    0.00    0.00   91.64
03:08:04 PM  all    5.69    0.00    2.20    0.01    0.00    0.48    0.00    0.00    0.00   91.62
03:08:34 PM  all    5.74    0.00    2.20    0.00    0.00    0.52    0.00    0.00    0.00   91.54
03:09:04 PM  all    5.79    0.00    2.22    0.01    0.00    0.48    0.00    0.00    0.00   91.51
03:09:34 PM  all    5.81    0.00    2.14    0.00    0.00    0.52    0.00    0.00    0.00   91.53
03:10:04 PM  all    5.62    0.00    2.14    0.01    0.00    0.52    0.00    0.00    0.00   91.71
03:10:34 PM  all    5.74    0.00    2.22    0.00    0.00    0.50    0.00    0.00    0.00   91.54
03:11:04 PM  all    5.87    0.00    2.22    0.01    0.00    0.51    0.00    0.00    0.00   91.39
03:11:34 PM  all    5.88    0.00    2.16    0.00    0.00    0.49    0.00    0.00    0.00   91.47
03:12:04 PM  all    5.78    0.00    2.20    0.00    0.00    0.51    0.00    0.00    0.00   91.50
03:12:34 PM  all    5.81    0.00    2.16    0.00    0.00    0.50    0.00    0.00    0.00   91.53
03:13:04 PM  all    5.89    0.00    2.20    0.01    0.00    0.51    0.00    0.00    0.00   91.40
03:13:34 PM  all    5.72    0.00    2.17    0.03    0.00    0.50    0.00    0.00    0.00   91.58
03:14:04 PM  all    5.73    0.00    2.15    0.01    0.00    0.50    0.00    0.00    0.00   91.62
03:14:34 PM  all    5.68    0.00    2.19    0.01    0.00    0.51    0.00    0.00    0.00   91.62
03:15:04 PM  all    5.80    0.00    2.19    0.00    0.00    0.50    0.00    0.00    0.00   91.51
03:15:34 PM  all    5.71    0.00    2.19    0.01    0.00    0.50    0.00    0.00    0.00   91.60
03:16:04 PM  all    5.82    0.00    2.17    0.00    0.00    0.51    0.00    0.00    0.00   91.49
03:16:34 PM  all    5.72    0.00    2.10    0.01    0.00    0.53    0.00    0.00    0.00   91.63
03:17:04 PM  all    5.68    0.00    2.17    0.01    0.00    0.50    0.00    0.00    0.00   91.65
03:17:34 PM  all    5.49    0.00    2.24    0.00    0.00    0.49    0.00    0.00    0.00   91.77
03:18:04 PM  all    5.69    0.00    2.18    0.01    0.00    0.51    0.00    0.00    0.00   91.62
Average:     all    5.73    0.00    2.18    0.01    0.00    0.50    0.00    0.00    0.00   91.58
