Linux 5.4.0-164-generic (node-0.twonode-llcperf.rperf-pg0.wisc.cloudlab.us) 	11/23/2023 	_x86_64_	(40 CPU)

06:57:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:58:03 AM  all   19.67    0.00   24.59    0.01    0.00    0.86    0.00    0.00    0.00   54.86
06:58:33 AM  all   12.27    0.00   60.31    0.00    0.00    0.37    0.00    0.00    0.00   27.04
06:59:03 AM  all   18.98    0.00   35.85    0.04    0.00    0.97    0.00    0.00    0.00   44.17
06:59:33 AM  all   11.96    0.00   59.38    0.01    0.00    0.31    0.00    0.00    0.00   28.33
07:00:03 AM  all   13.79    0.00   41.84    0.01    0.00    0.59    0.00    0.00    0.00   43.77
07:00:33 AM  all    4.31    0.00   89.77    0.00    0.00    0.10    0.00    0.00    0.00    5.82
07:01:03 AM  all   13.69    0.00   65.20    0.02    0.00    0.66    0.00    0.00    0.00   20.44
07:01:33 AM  all    3.88    0.00   86.12    0.00    0.00    0.06    0.00    0.00    0.00    9.93
07:02:03 AM  all   10.08    0.00   83.91    0.00    0.00    0.43    0.00    0.00    0.00    5.58
07:02:33 AM  all    6.42    0.00   66.35    0.01    0.00    0.19    0.00    0.00    0.00   27.03
07:03:03 AM  all    3.02    0.00   90.26    0.00    0.00    0.06    0.00    0.00    0.00    6.65
07:03:33 AM  all    4.33    0.00   92.75    0.00    0.00    0.08    0.00    0.00    0.00    2.84
07:04:03 AM  all    8.75    0.00   90.82    0.00    0.00    0.12    0.00    0.00    0.00    0.30
07:04:33 AM  all   18.60    0.00   47.79    0.02    0.00    0.50    0.00    0.00    0.00   33.09
07:05:03 AM  all   17.46    0.00   18.70    0.01    0.00    0.67    0.00    0.00    0.00   63.17
07:05:33 AM  all    3.64    0.00   84.41    0.00    0.00    0.08    0.00    0.00    0.00   11.86
Average:     all   10.61    0.00   65.17    0.01    0.00    0.38    0.00    0.00    0.00   23.83
