# started on Mon Nov 27 16:34:49 2023

#           time             counts unit events
   120.002660813     16,015,326,257      LLC-loads                                                     (50.00%)
   120.002660813      1,595,291,824      LLC-load-misses           #    9.96% of all LL-cache hits     (50.00%)
   120.002660813      5,000,375,174      LLC-stores                                                    (50.00%)
   120.002660813      2,014,200,289      LLC-store-misses                                              (50.00%)
   120.002660813    <not supported>      LLC-prefetch-misses                                         
   150.003511618     14,748,195,373      LLC-loads                                                     (50.00%)
   150.003511618      1,686,439,237      LLC-load-misses           #   10.96% of all LL-cache hits     (50.00%)
   150.003511618      4,712,170,770      LLC-stores                                                    (50.00%)
   150.003511618      1,858,988,590      LLC-store-misses                                              (50.00%)
   150.003511618    <not supported>      LLC-prefetch-misses                                         
   180.004168121     15,993,719,689      LLC-loads                                                     (50.00%)
   180.004168121      1,575,544,467      LLC-load-misses           #   10.11% of all LL-cache hits     (50.00%)
   180.004168121      5,008,102,857      LLC-stores                                                    (50.00%)
   180.004168121      2,019,420,588      LLC-store-misses                                              (50.00%)
   180.004168121    <not supported>      LLC-prefetch-misses                                         
   210.004988340     14,700,240,523      LLC-loads                                                     (50.00%)
   210.004988340      1,659,873,113      LLC-load-misses           #   10.80% of all LL-cache hits     (50.00%)
   210.004988340      4,689,097,177      LLC-stores                                                    (50.00%)
   210.004988340      1,852,684,436      LLC-store-misses                                              (50.00%)
   210.004988340    <not supported>      LLC-prefetch-misses                                         
   240.005751188     15,668,252,961      LLC-loads                                                     (50.00%)
   240.005751188      1,581,579,844      LLC-load-misses           #   10.25% of all LL-cache hits     (50.00%)
   240.005751188      4,970,615,641      LLC-stores                                                    (50.00%)
   240.005751188      1,982,058,005      LLC-store-misses                                              (50.00%)
   240.005751188    <not supported>      LLC-prefetch-misses                                         
   270.006515949     15,090,971,232      LLC-loads                                                     (50.00%)
   270.006515949      1,659,061,512      LLC-load-misses           #   10.79% of all LL-cache hits     (50.00%)
   270.006515949      4,738,944,540      LLC-stores                                                    (50.00%)
   270.006515949      1,877,475,932      LLC-store-misses                                              (50.00%)
   270.006515949    <not supported>      LLC-prefetch-misses                                         
   300.007324283     15,408,908,323      LLC-loads                                                     (50.00%)
   300.007324283      1,592,005,254      LLC-load-misses           #   10.35% of all LL-cache hits     (50.00%)
   300.007324283      4,840,953,585      LLC-stores                                                    (50.00%)
   300.007324283      1,930,230,682      LLC-store-misses                                              (50.00%)
   300.007324283    <not supported>      LLC-prefetch-misses                                         
   330.008088689     14,862,032,438      LLC-loads                                                     (50.00%)
   330.008088689      1,638,879,873      LLC-load-misses           #   10.70% of all LL-cache hits     (50.00%)
   330.008088689      4,649,244,215      LLC-stores                                                    (50.00%)
