Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	11/22/2023 	_x86_64_	(40 CPU)

03:07:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:08:47 PM  all   18.05    0.00    7.88    0.00    0.00    2.06    0.00    0.00    0.00   72.01
03:09:47 PM  all   17.99    0.00    7.79    0.01    0.00    2.04    0.00    0.00    0.00   72.17
03:10:47 PM  all   17.95    0.00    7.87    0.01    0.00    2.09    0.00    0.00    0.00   72.09
03:11:47 PM  all   17.89    0.00    7.83    0.00    0.00    2.10    0.00    0.00    0.00   72.17
03:12:47 PM  all   17.89    0.00    7.85    0.01    0.00    2.06    0.00    0.00    0.00   72.19
03:13:47 PM  all   17.78    0.00    7.77    0.01    0.00    2.06    0.00    0.00    0.00   72.39
03:14:47 PM  all   17.64    0.00    7.81    0.01    0.00    2.05    0.00    0.00    0.00   72.49
03:15:47 PM  all   17.73    0.00    7.74    0.02    0.00    2.05    0.00    0.00    0.00   72.47
03:16:47 PM  all   17.73    0.00    7.70    0.01    0.00    2.07    0.00    0.00    0.00   72.49
03:17:47 PM  all   17.69    0.00    7.72    0.00    0.00    2.04    0.00    0.00    0.00   72.55
03:18:47 PM  all   17.62    0.00    7.82    0.00    0.00    2.07    0.00    0.00    0.00   72.48
03:19:47 PM  all   17.59    0.00    7.72    0.01    0.00    2.07    0.00    0.00    0.00   72.62
03:20:47 PM  all   17.64    0.00    7.77    0.01    0.00    2.06    0.00    0.00    0.00   72.53
03:21:47 PM  all   17.44    0.00    7.78    0.01    0.00    2.05    0.00    0.00    0.00   72.72
03:22:47 PM  all   17.32    0.00    7.72    0.01    0.00    2.05    0.00    0.00    0.00   72.91
03:23:47 PM  all   17.32    0.00    7.78    0.01    0.00    2.03    0.00    0.00    0.00   72.85
03:24:47 PM  all   17.41    0.00    7.74    0.00    0.00    2.03    0.00    0.00    0.00   72.81
03:25:47 PM  all   17.43    0.00    7.79    0.00    0.00    2.03    0.00    0.00    0.00   72.74
03:26:47 PM  all   17.56    0.00    7.73    0.00    0.00    2.05    0.00    0.00    0.00   72.65
03:27:47 PM  all   17.32    0.00    7.70    0.01    0.00    2.05    0.00    0.00    0.00   72.92
03:28:47 PM  all   17.39    0.00    7.75    0.00    0.00    2.05    0.00    0.00    0.00   72.81
03:29:47 PM  all   17.37    0.00    7.83    0.01    0.00    2.06    0.00    0.00    0.00   72.74
03:30:47 PM  all   17.31    0.00    7.83    0.01    0.00    2.03    0.00    0.00    0.00   72.82
03:31:47 PM  all   17.34    0.00    7.71    0.00    0.00    2.05    0.00    0.00    0.00   72.89
Average:     all   17.60    0.00    7.78    0.01    0.00    2.05    0.00    0.00    0.00   72.56
