# started on Wed Nov 22 15:04:47 2023

#           time             counts unit events
   240.004061613      2,916,174,218      LLC-loads                                                     (50.00%)
   240.004061613        966,955,296      LLC-load-misses           #   33.16% of all LL-cache hits     (50.00%)
   240.004061613      1,077,249,035      LLC-stores                                                    (50.00%)
   240.004061613        427,213,203      LLC-store-misses                                              (50.00%)
   240.004061613    <not supported>      LLC-prefetch-misses                                         
   300.006029262      2,900,127,222      LLC-loads                                                     (50.00%)
   300.006029262        960,693,463      LLC-load-misses           #   33.03% of all LL-cache hits     (50.00%)
   300.006029262      1,069,026,776      LLC-stores                                                    (50.00%)
   300.006029262        425,123,561      LLC-store-misses                                              (50.00%)
   300.006029262    <not supported>      LLC-prefetch-misses                                         
   360.007571949      2,910,035,906      LLC-loads                                                     (50.00%)
   360.007571949        963,369,324      LLC-load-misses           #   33.12% of all LL-cache hits     (50.00%)
   360.007571949      1,073,082,489      LLC-stores                                                    (50.00%)
   360.007571949        424,664,932      LLC-store-misses                                              (50.00%)
   360.007571949    <not supported>      LLC-prefetch-misses                                         
   420.008991239      2,890,942,451      LLC-loads                                                     (50.00%)
   420.008991239        956,525,200      LLC-load-misses           #   32.93% of all LL-cache hits     (50.00%)
   420.008991239      1,069,611,099      LLC-stores                                                    (50.00%)
   420.008991239        421,538,893      LLC-store-misses                                              (50.00%)
   420.008991239    <not supported>      LLC-prefetch-misses                                         
   480.010642845      2,888,711,661      LLC-loads                                                     (50.00%)
   480.010642845        958,278,959      LLC-load-misses           #   33.03% of all LL-cache hits     (50.00%)
   480.010642845      1,065,736,923      LLC-stores                                                    (50.00%)
   480.010642845        418,845,596      LLC-store-misses                                              (50.00%)
   480.010642845    <not supported>      LLC-prefetch-misses                                         
   540.011934331      2,883,592,679      LLC-loads                                                     (50.00%)
   540.011934331        949,407,302      LLC-load-misses           #   32.76% of all LL-cache hits     (50.00%)
   540.011934331      1,063,595,600      LLC-stores                                                    (50.00%)
   540.011934331        416,628,549      LLC-store-misses                                              (50.00%)
   540.011934331    <not supported>      LLC-prefetch-misses                                         
   600.013642828      2,871,881,533      LLC-loads                                                     (50.00%)
   600.013642828        947,846,431      LLC-load-misses           #   32.75% of all LL-cache hits     (50.00%)
   600.013642828      1,060,115,368      LLC-stores                                                    (50.00%)
   600.013642828        415,440,503      LLC-store-misses                                              (50.00%)
   600.013642828    <not supported>      LLC-prefetch-misses                                         
   660.015257812      2,875,151,590      LLC-loads                                                     (50.00%)
   660.015257812        952,172,869      LLC-load-misses           #   32.92% of all LL-cache hits     (50.00%)
   660.015257812      1,061,729,951      LLC-stores                                                    (50.00%)
