Linux 5.4.0-164-generic (node-0.llcperf.rperf-pg0.wisc.cloudlab.us) 	11/27/2023 	_x86_64_	(40 CPU)

05:58:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:58:41 AM  all   19.26    0.00   57.20    0.02    0.00    1.32    0.00    0.00    0.00   22.19
05:59:11 AM  all    9.40    0.00   86.40    0.01    0.00    0.54    0.00    0.00    0.00    3.65
05:59:41 AM  all   24.00    0.00   40.46    0.03    0.00    2.04    0.00    0.00    0.00   33.47
06:00:11 AM  all    9.86    0.00   78.33    0.00    0.00    0.74    0.00    0.00    0.00   11.07
06:00:41 AM  all   21.84    0.00   45.56    0.02    0.00    1.90    0.00    0.00    0.00   30.68
06:01:11 AM  all   11.18    0.00   76.67    0.01    0.00    0.81    0.00    0.00    0.00   11.33
06:01:41 AM  all   21.76    0.00   47.10    0.02    0.00    1.90    0.00    0.00    0.00   29.23
06:02:11 AM  all   11.06    0.00   73.05    0.01    0.00    0.86    0.00    0.00    0.00   15.03
06:02:41 AM  all   19.31    0.00   53.46    0.01    0.00    1.67    0.00    0.00    0.00   25.55
06:03:11 AM  all    7.41    0.00   85.49    0.00    0.00    0.55    0.00    0.00    0.00    6.54
06:03:41 AM  all   19.55    0.00   54.18    0.01    0.00    1.69    0.00    0.00    0.00   24.57
06:04:11 AM  all   10.24    0.00   80.79    0.01    0.00    0.66    0.00    0.00    0.00    8.31
06:04:41 AM  all   18.71    0.00   60.44    0.02    0.00    1.49    0.00    0.00    0.00   19.33
06:05:11 AM  all   11.70    0.00   70.85    0.01    0.00    1.00    0.00    0.00    0.00   16.44
06:05:41 AM  all   16.85    0.00   60.35    0.01    0.00    1.48    0.00    0.00    0.00   21.31
06:06:11 AM  all   11.45    0.00   71.53    0.01    0.00    0.97    0.00    0.00    0.00   16.04
06:06:41 AM  all   15.88    0.00   63.74    0.01    0.00    1.37    0.00    0.00    0.00   19.00
06:07:11 AM  all   15.71    0.00   57.73    0.02    0.00    1.42    0.00    0.00    0.00   25.12
06:07:41 AM  all   14.07    0.00   68.40    0.00    0.00    1.24    0.00    0.00    0.00   16.29
06:08:11 AM  all   17.95    0.00   51.27    0.02    0.00    1.58    0.00    0.00    0.00   29.18
06:08:41 AM  all   12.45    0.00   73.19    0.01    0.00    1.04    0.00    0.00    0.00   13.31
06:09:11 AM  all   13.95    0.00   66.10    0.01    0.00    1.22    0.00    0.00    0.00   18.73
06:09:41 AM  all   11.12    0.00   76.35    0.00    0.00    0.93    0.00    0.00    0.00   11.61
06:10:11 AM  all   18.52    0.00   49.84    0.02    0.00    1.72    0.00    0.00    0.00   29.90
Average:     all   15.10    0.00   64.62    0.01    0.00    1.25    0.00    0.00    0.00   19.02
