Linux 5.4.0-164-generic (node-0.llcperf.rperf-pg0.wisc.cloudlab.us) 	11/27/2023 	_x86_64_	(40 CPU)

03:51:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:51:41 PM  all   14.63    0.00    4.45    0.00    0.00    1.05    0.00    0.00    0.00   79.87
03:52:11 PM  all   14.40    0.00    4.48    0.01    0.00    1.03    0.00    0.00    0.00   80.09
03:52:41 PM  all   13.98    0.00    4.39    0.00    0.00    1.05    0.00    0.00    0.00   80.58
03:53:11 PM  all   13.95    0.00    4.24    0.01    0.00    1.03    0.00    0.00    0.00   80.77
03:53:41 PM  all   13.77    0.00    4.20    0.01    0.00    1.03    0.00    0.00    0.00   80.99
03:54:11 PM  all   13.69    0.00    4.25    0.00    0.00    1.01    0.00    0.00    0.00   81.04
03:54:41 PM  all   13.49    0.00    4.29    0.01    0.00    1.01    0.00    0.00    0.00   81.21
03:55:11 PM  all   13.25    0.00    4.15    0.01    0.00    1.00    0.00    0.00    0.00   81.59
03:55:41 PM  all   13.28    0.00    4.23    0.01    0.00    1.01    0.00    0.00    0.00   81.48
03:56:11 PM  all   13.07    0.00    4.10    0.01    0.00    1.03    0.00    0.00    0.00   81.80
03:56:41 PM  all   12.97    0.00    4.09    0.00    0.00    0.99    0.00    0.00    0.00   81.94
03:57:11 PM  all   13.00    0.00    4.04    0.01    0.00    1.00    0.00    0.00    0.00   81.95
03:57:41 PM  all   12.64    0.00    4.04    0.00    0.00    1.03    0.00    0.00    0.00   82.29
03:58:11 PM  all   12.69    0.00    4.02    0.00    0.00    1.01    0.00    0.00    0.00   82.28
03:58:41 PM  all   12.60    0.00    4.02    0.00    0.00    1.04    0.00    0.00    0.00   82.33
03:59:11 PM  all   12.63    0.00    3.97    0.01    0.00    1.02    0.00    0.00    0.00   82.38
03:59:41 PM  all   12.41    0.00    3.92    0.01    0.00    1.03    0.00    0.00    0.00   82.64
04:00:11 PM  all   12.72    0.00    3.95    0.01    0.00    1.01    0.00    0.00    0.00   82.31
04:00:41 PM  all   12.42    0.00    3.96    0.00    0.00    0.98    0.00    0.00    0.00   82.64
04:01:11 PM  all   12.72    0.00    4.09    0.01    0.00    1.03    0.00    0.00    0.00   82.15
04:01:41 PM  all   12.25    0.00    3.93    0.01    0.00    1.00    0.00    0.00    0.00   82.80
04:02:11 PM  all   12.20    0.00    3.97    0.01    0.00    0.96    0.00    0.00    0.00   82.87
04:02:41 PM  all   12.02    0.00    3.94    0.01    0.00    0.99    0.00    0.00    0.00   83.04
04:03:11 PM  all   12.18    0.00    3.99    0.01    0.00    1.03    0.00    0.00    0.00   82.79
Average:     all   13.04    0.00    4.11    0.01    0.00    1.01    0.00    0.00    0.00   81.82
