Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	12/13/2023 	_x86_64_	(40 CPU)

10:32:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:32:31 PM  all   12.03    0.00    5.39    0.01    0.00    1.35    0.00    0.00    0.00   81.22
10:33:01 PM  all   11.95    0.00    5.44    0.00    0.00    1.34    0.00    0.00    0.00   81.27
10:33:31 PM  all   12.03    0.00    5.42    0.01    0.00    1.37    0.00    0.00    0.00   81.19
10:34:01 PM  all   11.96    0.00    5.47    0.00    0.00    1.35    0.00    0.00    0.00   81.22
10:34:31 PM  all   12.09    0.00    5.38    0.01    0.00    1.34    0.00    0.00    0.00   81.18
10:35:01 PM  all   11.85    0.00    5.41    0.01    0.00    1.37    0.00    0.00    0.00   81.37
10:35:31 PM  all   11.93    0.00    5.42    0.01    0.00    1.34    0.00    0.00    0.00   81.31
10:36:01 PM  all   12.01    0.00    5.37    0.01    0.00    1.38    0.00    0.00    0.00   81.23
10:36:31 PM  all   11.74    0.00    5.37    0.01    0.00    1.35    0.00    0.00    0.00   81.53
10:37:01 PM  all   11.83    0.00    5.32    0.01    0.00    1.35    0.00    0.00    0.00   81.50
10:37:31 PM  all   12.15    0.00    5.71    0.01    0.00    1.36    0.00    0.00    0.00   80.77
10:38:01 PM  all   12.70    0.00    6.64    0.01    0.00    1.34    0.00    0.00    0.00   79.32
10:38:31 PM  all   13.13    0.00    5.85    0.01    0.00    1.36    0.00    0.00    0.00   79.66
10:39:01 PM  all   11.72    0.00    5.40    0.00    0.00    1.36    0.00    0.00    0.00   81.51
10:39:31 PM  all   11.81    0.00    5.34    0.01    0.00    1.30    0.00    0.00    0.00   81.54
10:40:01 PM  all   11.91    0.00    5.39    0.00    0.00    1.35    0.00    0.00    0.00   81.35
10:40:31 PM  all   11.83    0.00    5.40    0.01    0.00    1.35    0.00    0.00    0.00   81.41
10:41:01 PM  all   11.93    0.00    5.37    0.00    0.00    1.35    0.00    0.00    0.00   81.35
10:41:31 PM  all   11.81    0.00    5.37    0.00    0.00    1.35    0.00    0.00    0.00   81.46
10:42:01 PM  all   11.68    0.00    5.37    0.00    0.00    1.37    0.00    0.00    0.00   81.57
10:42:31 PM  all   11.76    0.00    5.43    0.01    0.00    1.35    0.00    0.00    0.00   81.45
10:43:01 PM  all   11.80    0.00    5.27    0.01    0.00    1.35    0.00    0.00    0.00   81.57
10:43:31 PM  all   11.77    0.00    5.32    0.00    0.00    1.35    0.00    0.00    0.00   81.55
10:44:01 PM  all   11.76    0.00    5.38    0.01    0.00    1.35    0.00    0.00    0.00   81.51
Average:     all   11.97    0.00    5.47    0.01    0.00    1.35    0.00    0.00    0.00   81.21
