# started on Wed Dec 13 23:56:46 2023

#           time             counts unit events
   120.002288566    929,383,244,181      instructions                                                  (60.00%)
   120.002288566     12,304,274,770      LLC-loads                                                     (60.00%)
   120.002288566      2,349,731,838      LLC-load-misses           #   19.10% of all LL-cache hits     (60.00%)
   120.002288566      5,375,441,198      LLC-stores                                                    (40.00%)
   120.002288566      2,022,470,274      LLC-store-misses                                              (40.00%)
   120.002288566    <not supported>      LLC-prefetch-misses                                         
   150.003268538    925,812,842,652      instructions                                                  (60.00%)
   150.003268538     13,299,891,713      LLC-loads                                                     (60.00%)
   150.003268538      2,345,355,664      LLC-load-misses           #   18.32% of all LL-cache hits     (60.00%)
   150.003268538      6,009,829,060      LLC-stores                                                    (40.00%)
   150.003268538      2,273,968,325      LLC-store-misses                                              (40.00%)
   150.003268538    <not supported>      LLC-prefetch-misses                                         
   180.004238984    950,607,568,004      instructions                                                  (60.00%)
   180.004238984     13,290,763,947      LLC-loads                                                     (60.00%)
   180.004238984      2,414,928,746      LLC-load-misses           #   18.63% of all LL-cache hits     (60.00%)
   180.004238984      5,947,891,531      LLC-stores                                                    (40.00%)
   180.004238984      2,264,412,192      LLC-store-misses                                              (40.00%)
   180.004238984    <not supported>      LLC-prefetch-misses                                         
   210.005074501    978,416,247,304      instructions                                                  (60.00%)
   210.005074501     13,384,254,749      LLC-loads                                                     (60.00%)
   210.005074501      2,550,378,536      LLC-load-misses           #   19.51% of all LL-cache hits     (60.00%)
   210.005074501      5,793,420,876      LLC-stores                                                    (40.00%)
   210.005074501      2,231,680,239      LLC-store-misses                                              (40.00%)
   210.005074501    <not supported>      LLC-prefetch-misses                                         
   240.005894444    994,424,436,048      instructions                                                  (60.00%)
   240.005894444     13,387,508,975      LLC-loads                                                     (60.00%)
   240.005894444      2,534,292,406      LLC-load-misses           #   19.30% of all LL-cache hits     (60.00%)
   240.005894444      5,716,879,284      LLC-stores                                                    (40.00%)
   240.005894444      2,211,228,485      LLC-store-misses                                              (40.00%)
   240.005894444    <not supported>      LLC-prefetch-misses                                         
   270.006739191    982,666,804,083      instructions                                                  (60.00%)
   270.006739191     14,013,613,153      LLC-loads                                                     (60.00%)
   270.006739191      2,426,496,793      LLC-load-misses           #   18.27% of all LL-cache hits     (60.00%)
   270.006739191      5,882,462,324      LLC-stores                                                    (40.00%)
   270.006739191      2,262,428,338      LLC-store-misses                                              (40.00%)
   270.006739191    <not supported>      LLC-prefetch-misses                                         
   300.007618189  1,017,613,592,303      instructions                                                  (60.00%)
   300.007618189     16,385,635,108      LLC-loads                                                     (60.00%)
   300.007618189      2,182,894,158      LLC-load-misses           #   15.91% of all LL-cache hits     (60.00%)
   300.007618189      5,713,692,025      LLC-stores                                                    (40.00%)
   300.007618189      2,250,346,694      LLC-store-misses                                              (40.00%)
   300.007618189    <not supported>      LLC-prefetch-misses                                         
   330.008591950  1,040,740,243,683      instructions                                                  (60.00%)
   330.008591950     18,288,000,482      LLC-loads                                                     (60.00%)
   330.008591950      2,187,178,872      LLC-load-misses           #   15.30% of all LL-cache hits     (60.00%)
   330.008591950      5,650,001,718      LLC-stores                                                    (40.00%)
   330.008591950      2,271,741,816      LLC-store-misses                                              (40.00%)
   330.008591950    <not supported>      LLC-prefetch-misses                                         
   360.009430754  1,008,670,657,999      instructions                                                  (60.00%)
   360.009430754     15,420,912,925      LLC-loads                                                     (60.00%)
   360.009430754      2,079,420,037      LLC-load-misses           #   14.42% of all LL-cache hits     (60.00%)
   360.009430754      5,109,241,209      LLC-stores                                                    (40.00%)
   360.009430754      2,019,138,332      LLC-store-misses                                              (40.00%)
   360.009430754    <not supported>      LLC-prefetch-misses                                         
   390.010292585    972,408,582,745      instructions                                                  (60.00%)
   390.010292585     14,006,350,746      LLC-loads                                                     (60.00%)
   390.010292585      2,100,564,919      LLC-load-misses           #   14.61% of all LL-cache hits     (60.00%)
   390.010292585      5,393,585,791      LLC-stores                                                    (40.00%)
   390.010292585      2,109,370,260      LLC-store-misses                                              (40.00%)
   390.010292585    <not supported>      LLC-prefetch-misses                                         
   420.011155002  1,018,734,995,062      instructions                                                  (60.00%)
   420.011155002     14,103,736,222      LLC-loads                                                     (60.00%)
   420.011155002      2,424,191,984      LLC-load-misses           #   16.89% of all LL-cache hits     (60.00%)
   420.011155002      5,536,005,455      LLC-stores                                                    (40.00%)
   420.011155002      2,175,600,911      LLC-store-misses                                              (40.00%)
   420.011155002    <not supported>      LLC-prefetch-misses                                         
   450.011982268  1,009,742,079,145      instructions                                                  (60.00%)
   450.011982268     15,029,141,871      LLC-loads                                                     (60.00%)
   450.011982268      2,286,399,314      LLC-load-misses           #   15.87% of all LL-cache hits     (60.00%)
   450.011982268      5,765,705,941      LLC-stores                                                    (40.00%)
   450.011982268      2,263,943,103      LLC-store-misses                                              (40.00%)
   450.011982268    <not supported>      LLC-prefetch-misses                                         
   480.012894419  1,040,957,348,700      instructions                                                  (60.00%)
   480.012894419     15,837,974,306      LLC-loads                                                     (60.00%)
   480.012894419      2,274,634,286      LLC-load-misses           #   15.67% of all LL-cache hits     (60.00%)
   480.012894419      5,561,398,580      LLC-stores                                                    (40.00%)
   480.012894419      2,197,804,501      LLC-store-misses                                              (40.00%)
   480.012894419    <not supported>      LLC-prefetch-misses                                         
   510.013854716  1,033,056,286,414      instructions                                                  (60.00%)
   510.013854716     16,890,538,969      LLC-loads                                                     (60.00%)
