Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	12/14/2023 	_x86_64_	(40 CPU)

12:19:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:20:22 AM  all    4.24    0.00   95.42    0.00    0.00    0.11    0.00    0.00    0.00    0.22
12:20:52 AM  all    4.31    0.00   91.50    0.00    0.00    0.12    0.00    0.00    0.00    4.06
12:21:22 AM  all    4.84    0.00   93.13    0.00    0.00    0.18    0.00    0.00    0.00    1.85
12:21:52 AM  all    4.37    0.00   95.22    0.00    0.00    0.15    0.00    0.00    0.00    0.26
12:22:22 AM  all    7.01    0.00   91.28    0.01    0.00    0.28    0.00    0.00    0.00    1.42
12:22:52 AM  all    9.59    0.00   85.94    0.01    0.00    0.55    0.00    0.00    0.00    3.91
12:23:22 AM  all    9.67    0.00   86.45    0.01    0.00    0.57    0.00    0.00    0.00    3.30
12:23:52 AM  all   11.27    0.00   74.02    0.02    0.00    0.55    0.00    0.00    0.00   14.14
12:24:22 AM  all    9.08    0.00   78.41    0.02    0.00    0.30    0.00    0.00    0.00   12.19
12:24:52 AM  all    9.44    0.00   73.82    0.02    0.00    0.35    0.00    0.00    0.00   16.38
12:25:22 AM  all    3.38    0.00   96.30    0.00    0.00    0.08    0.00    0.00    0.00    0.24
12:25:52 AM  all   12.66    0.00   73.30    0.02    0.00    0.60    0.00    0.00    0.00   13.42
12:26:22 AM  all    7.18    0.00   92.10    0.01    0.00    0.19    0.00    0.00    0.00    0.52
12:26:52 AM  all   19.01    0.00   51.41    0.05    0.00    0.93    0.00    0.00    0.00   28.60
12:27:22 AM  all    5.58    0.00   69.83    0.01    0.00    0.13    0.00    0.00    0.00   24.45
12:27:52 AM  all    8.15    0.00   58.79    0.02    0.00    0.16    0.00    0.00    0.00   32.87
12:28:22 AM  all    6.39    0.00   87.95    0.01    0.00    0.10    0.00    0.00    0.00    5.55
12:28:52 AM  all    3.91    0.00   95.65    0.00    0.00    0.06    0.00    0.00    0.00    0.38
12:29:22 AM  all    6.95    0.00   90.64    0.01    0.00    0.12    0.00    0.00    0.00    2.27
12:29:52 AM  all    6.97    0.00   92.69    0.01    0.00    0.12    0.00    0.00    0.00    0.21
12:30:22 AM  all    5.90    0.00   93.86    0.00    0.00    0.10    0.00    0.00    0.00    0.14
12:30:52 AM  all    6.77    0.00   88.19    0.01    0.00    0.13    0.00    0.00    0.00    4.90
12:31:22 AM  all    7.63    0.00   85.15    0.02    0.00    0.13    0.00    0.00    0.00    7.08
12:31:52 AM  all    4.83    0.00   94.83    0.00    0.00    0.10    0.00    0.00    0.00    0.24
Average:     all    7.44    0.00   84.92    0.01    0.00    0.25    0.00    0.00    0.00    7.37
