# started on Thu Dec 14 01:23:12 2023

#           time             counts unit events
   120.010393986  1,068,735,719,899      instructions                                                  (59.99%)
   120.010393986     17,159,155,114      LLC-loads                                                     (60.00%)
   120.010393986      2,327,317,375      LLC-load-misses           #   13.56% of all LL-cache hits     (60.01%)
   120.010393986      5,431,425,817      LLC-stores                                                    (40.00%)
   120.010393986      2,131,560,157      LLC-store-misses                                              (39.99%)
   120.010393986    <not supported>      LLC-prefetch-misses                                         
   150.011479167  1,060,687,629,481      instructions                                                  (60.00%)
   150.011479167     15,918,447,115      LLC-loads                                                     (60.00%)
   150.011479167      2,265,616,155      LLC-load-misses           #   13.70% of all LL-cache hits     (60.00%)
   150.011479167      5,381,573,535      LLC-stores                                                    (40.00%)
   150.011479167      2,101,676,667      LLC-store-misses                                              (40.00%)
   150.011479167    <not supported>      LLC-prefetch-misses                                         
   180.012461261  1,032,572,780,138      instructions                                                  (60.00%)
   180.012461261     14,532,306,380      LLC-loads                                                     (60.00%)
   180.012461261      2,223,666,166      LLC-load-misses           #   14.01% of all LL-cache hits     (60.00%)
   180.012461261      5,496,618,211      LLC-stores                                                    (40.00%)
   180.012461261      2,134,067,124      LLC-store-misses                                              (40.00%)
   180.012461261    <not supported>      LLC-prefetch-misses                                         
   210.013456951    990,411,595,293      instructions                                                  (60.00%)
   210.013456951     13,991,354,450      LLC-loads                                                     (60.00%)
   210.013456951      2,386,717,664      LLC-load-misses           #   15.50% of all LL-cache hits     (60.00%)
   210.013456951      5,784,130,826      LLC-stores                                                    (40.00%)
   210.013456951      2,249,231,832      LLC-store-misses                                              (40.00%)
   210.013456951    <not supported>      LLC-prefetch-misses                                         
   240.014426091    985,406,920,058      instructions                                                  (60.00%)
   240.014426091     13,882,950,940      LLC-loads                                                     (60.00%)
   240.014426091      2,506,578,904      LLC-load-misses           #   16.60% of all LL-cache hits     (60.00%)
   240.014426091      5,776,208,654      LLC-stores                                                    (40.00%)
   240.014426091      2,226,605,352      LLC-store-misses                                              (40.00%)
   240.014426091    <not supported>      LLC-prefetch-misses                                         
   270.015376740    991,819,397,831      instructions                                                  (60.00%)
   270.015376740     14,578,427,296      LLC-loads                                                     (60.00%)
   270.015376740      2,333,260,334      LLC-load-misses           #   15.54% of all LL-cache hits     (60.00%)
   270.015376740      5,855,381,568      LLC-stores                                                    (40.00%)
   270.015376740      2,263,541,891      LLC-store-misses                                              (40.00%)
   270.015376740    <not supported>      LLC-prefetch-misses                                         
   300.016375523  1,023,726,377,372      instructions                                                  (60.00%)
   300.016375523     15,494,168,311      LLC-loads                                                     (60.00%)
   300.016375523      2,257,483,362      LLC-load-misses           #   14.97% of all LL-cache hits     (60.00%)
   300.016375523      5,671,814,759      LLC-stores                                                    (40.00%)
   300.016375523      2,223,939,628      LLC-store-misses                                              (40.00%)
   300.016375523    <not supported>      LLC-prefetch-misses                                         
   330.017401492  1,043,493,154,822      instructions                                                  (60.00%)
   330.017401492     16,828,845,700      LLC-loads                                                     (60.00%)
