# started on Tue Nov 28 11:38:36 2023

#           time             counts unit events
   120.005164261     96,976,911,632      instructions                                                  (60.00%)
   120.005164261        728,498,486      LLC-loads                                                     (60.00%)
   120.005164261        189,638,418      LLC-load-misses           #   26.03% of all LL-cache hits     (60.01%)
   120.005164261        202,725,181      LLC-stores                                                    (40.00%)
   120.005164261         77,900,583      LLC-store-misses                                              (40.00%)
   120.005164261    <not supported>      LLC-prefetch-misses                                         
   150.007450364    100,563,717,383      instructions                                                  (60.00%)
   150.007450364        726,239,335      LLC-loads                                                     (60.00%)
   150.007450364        190,345,088      LLC-load-misses           #   26.17% of all LL-cache hits     (60.00%)
   150.007450364        206,874,779      LLC-stores                                                    (40.00%)
   150.007450364         79,994,953      LLC-store-misses                                              (40.00%)
   150.007450364    <not supported>      LLC-prefetch-misses                                         
   180.009338633     98,573,629,172      instructions                                                  (59.99%)
   180.009338633        711,916,650      LLC-loads                                                     (60.00%)
   180.009338633        181,010,133      LLC-load-misses           #   25.06% of all LL-cache hits     (60.00%)
   180.009338633        202,817,808      LLC-stores                                                    (40.00%)
   180.009338633         75,701,132      LLC-store-misses                                              (40.00%)
   180.009338633    <not supported>      LLC-prefetch-misses                                         
   210.011526712     94,964,392,935      instructions                                                  (59.99%)
   210.011526712        715,273,590      LLC-loads                                                     (60.00%)
   210.011526712        183,503,033      LLC-load-misses           #   25.47% of all LL-cache hits     (60.00%)
   210.011526712        203,810,922      LLC-stores                                                    (40.00%)
   210.011526712         76,784,954      LLC-store-misses                                              (40.00%)
   210.011526712    <not supported>      LLC-prefetch-misses                                         
   240.013251399     94,956,429,201      instructions                                                  (59.99%)
   240.013251399        720,748,162      LLC-loads                                                     (60.00%)
   240.013251399        185,605,659      LLC-load-misses           #   25.76% of all LL-cache hits     (60.00%)
   240.013251399        200,497,969      LLC-stores                                                    (40.00%)
   240.013251399         77,261,187      LLC-store-misses                                              (40.00%)
   240.013251399    <not supported>      LLC-prefetch-misses                                         
   270.015407167     95,951,758,521      instructions                                                  (60.00%)
   270.015407167        713,807,403      LLC-loads                                                     (59.99%)
   270.015407167        185,113,799      LLC-load-misses           #   25.73% of all LL-cache hits     (60.00%)
   270.015407167        201,464,784      LLC-stores                                                    (40.01%)
   270.015407167         75,926,506      LLC-store-misses                                              (40.00%)
   270.015407167    <not supported>      LLC-prefetch-misses                                         
   300.017678221     95,140,771,308      instructions                                                  (60.00%)
   300.017678221        709,076,140      LLC-loads                                                     (59.99%)
   300.017678221        181,447,314      LLC-load-misses           #   25.27% of all LL-cache hits     (60.00%)
   300.017678221        200,029,982      LLC-stores                                                    (40.00%)
   300.017678221         75,486,784      LLC-store-misses                                              (40.00%)
   300.017678221    <not supported>      LLC-prefetch-misses                                         
   330.019890763     94,297,755,491      instructions                                                  (60.00%)
   330.019890763        710,956,362      LLC-loads                                                     (60.00%)
   330.019890763        180,823,915      LLC-load-misses           #   25.22% of all LL-cache hits     (59.99%)
   330.019890763        198,729,589      LLC-stores                                                    (40.00%)
   330.019890763         75,618,794      LLC-store-misses                                              (40.00%)
   330.019890763    <not supported>      LLC-prefetch-misses                                         
   360.022241840     94,617,010,639      instructions                                                  (60.00%)
   360.022241840        709,637,006      LLC-loads                                                     (60.00%)
