Linux 5.4.0-164-generic (node-0.llcperf.rperf-pg0.wisc.cloudlab.us) 	11/28/2023 	_x86_64_	(40 CPU)

12:23:13 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:23:43 PM  all   11.81    0.00    4.06    0.01    0.00    1.05    0.00    0.00    0.00   83.07
12:24:13 PM  all   11.78    0.00    4.06    0.01    0.00    1.04    0.00    0.00    0.00   83.11
12:24:43 PM  all   11.39    0.00    4.12    0.00    0.00    1.06    0.00    0.00    0.00   83.43
12:25:13 PM  all   11.43    0.00    3.99    0.01    0.00    1.07    0.00    0.00    0.00   83.50
12:25:43 PM  all   11.39    0.00    4.02    0.00    0.00    1.07    0.00    0.00    0.00   83.52
12:26:13 PM  all   11.27    0.00    3.92    0.01    0.00    1.06    0.00    0.00    0.00   83.74
12:26:43 PM  all   11.11    0.00    3.96    0.01    0.00    1.07    0.00    0.00    0.00   83.86
12:27:13 PM  all   11.01    0.00    3.98    0.00    0.00    1.07    0.00    0.00    0.00   83.94
12:27:43 PM  all   11.16    0.00    4.02    0.01    0.00    1.01    0.00    0.00    0.00   83.81
12:28:13 PM  all   10.84    0.00    3.91    0.01    0.00    1.05    0.00    0.00    0.00   84.19
12:28:43 PM  all   10.91    0.00    3.95    0.01    0.00    1.03    0.00    0.00    0.00   84.10
12:29:13 PM  all   10.99    0.00    3.88    0.01    0.00    1.05    0.00    0.00    0.00   84.07
12:29:43 PM  all   11.17    0.00    4.01    0.01    0.00    1.03    0.00    0.00    0.00   83.78
12:30:13 PM  all   11.02    0.00    3.91    0.01    0.00    1.02    0.00    0.00    0.00   84.05
12:30:43 PM  all   10.67    0.00    3.81    0.00    0.00    1.04    0.00    0.00    0.00   84.48
12:31:13 PM  all   10.96    0.00    3.84    0.01    0.00    1.06    0.00    0.00    0.00   84.14
12:31:43 PM  all   10.79    0.00    3.84    0.01    0.00    1.05    0.00    0.00    0.00   84.31
12:32:13 PM  all   10.68    0.00    3.88    0.01    0.00    1.06    0.00    0.00    0.00   84.38
12:32:43 PM  all   10.79    0.00    3.87    0.00    0.00    1.05    0.00    0.00    0.00   84.29
12:33:13 PM  all   10.76    0.00    3.80    0.00    0.00    1.06    0.00    0.00    0.00   84.38
12:33:43 PM  all   10.56    0.00    3.76    0.01    0.00    1.06    0.00    0.00    0.00   84.61
12:34:13 PM  all   10.55    0.00    3.76    0.01    0.00    1.10    0.00    0.00    0.00   84.59
12:34:43 PM  all   10.46    0.00    3.78    0.00    0.00    1.07    0.00    0.00    0.00   84.68
12:35:13 PM  all   10.75    0.00    3.79    0.00    0.00    1.10    0.00    0.00    0.00   84.36
Average:     all   11.01    0.00    3.91    0.01    0.00    1.05    0.00    0.00    0.00   84.02
