Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	12/11/2023 	_x86_64_	(40 CPU)

10:06:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:06:57 AM  all    4.66    0.00   95.05    0.00    0.00    0.15    0.00    0.00    0.00    0.14
10:07:27 AM  all    8.42    0.00   87.79    0.01    0.00    0.40    0.00    0.00    0.00    3.39
10:07:57 AM  all    5.04    0.00   94.54    0.00    0.00    0.12    0.00    0.00    0.00    0.30
10:08:27 AM  all    7.38    0.00   84.30    0.01    0.00    0.27    0.00    0.00    0.00    8.04
10:08:57 AM  all    6.81    0.00   92.66    0.00    0.00    0.23    0.00    0.00    0.00    0.30
10:09:27 AM  all    9.69    0.00   88.11    0.01    0.00    0.48    0.00    0.00    0.00    1.72
10:09:57 AM  all    7.32    0.00   91.44    0.01    0.00    0.37    0.00    0.00    0.00    0.86
10:10:27 AM  all    8.33    0.00   88.60    0.01    0.00    0.33    0.00    0.00    0.00    2.73
10:10:57 AM  all    6.67    0.00   91.40    0.01    0.00    0.17    0.00    0.00    0.00    1.75
10:11:27 AM  all    4.08    0.00   95.51    0.00    0.00    0.15    0.00    0.00    0.00    0.27
10:11:57 AM  all    6.24    0.00   89.39    0.01    0.00    0.23    0.00    0.00    0.00    4.13
10:12:27 AM  all    5.78    0.00   89.49    0.00    0.00    0.21    0.00    0.00    0.00    4.51
10:12:57 AM  all    9.64    0.00   88.49    0.01    0.00    0.42    0.00    0.00    0.00    1.43
10:13:27 AM  all   10.82    0.00   87.71    0.01    0.00    0.36    0.00    0.00    0.00    1.10
10:13:57 AM  all    8.47    0.00   87.57    0.01    0.00    0.32    0.00    0.00    0.00    3.62
10:14:27 AM  all    4.38    0.00   95.29    0.00    0.00    0.14    0.00    0.00    0.00    0.19
10:14:57 AM  all    4.02    0.00   95.70    0.00    0.00    0.08    0.00    0.00    0.00    0.20
10:15:27 AM  all    7.31    0.00   88.56    0.01    0.00    0.15    0.00    0.00    0.00    3.98
10:15:57 AM  all    5.80    0.00   92.00    0.01    0.00    0.13    0.00    0.00    0.00    2.07
10:16:27 AM  all    6.04    0.00   92.26    0.01    0.00    0.23    0.00    0.00    0.00    1.47
10:16:57 AM  all    6.79    0.00   92.55    0.00    0.00    0.25    0.00    0.00    0.00    0.40
10:17:27 AM  all    7.12    0.00   92.41    0.01    0.00    0.18    0.00    0.00    0.00    0.29
10:17:57 AM  all   11.31    0.00   83.38    0.02    0.00    0.53    0.00    0.00    0.00    4.77
10:18:27 AM  all    8.29    0.00   70.00    0.02    0.00    0.30    0.00    0.00    0.00   21.40
Average:     all    7.10    0.00   89.77    0.01    0.00    0.26    0.00    0.00    0.00    2.86
