time="2023-12-11T07:49:19.44302408-07:00" level=info msg="Reading the endpoints from the file: endpoints.json"
time="2023-12-11T07:49:55.44360297-07:00" level=info msg="WarmUp: Issued / completed requests: 900, 900"
time="2023-12-11T07:49:55.443711124-07:00" level=info msg="WarmUp: Real / target RPS: 25.00 / 25"
time="2023-12-11T07:50:31.443919221-07:00" level=info msg="WarmUp: Issued / completed requests: 1800, 1800"
time="2023-12-11T07:50:31.44404646-07:00" level=info msg="WarmUp: Real / target RPS: 50.00 / 50"
time="2023-12-11T07:51:07.444218776-07:00" level=info msg="WarmUp: Issued / completed requests: 2770, 2769"
time="2023-12-11T07:51:07.444437014-07:00" level=info msg="WarmUp: Real / target RPS: 76.92 / 75.00000000000001"
time="2023-12-11T07:51:43.445080648-07:00" level=info msg="WarmUp: Issued / completed requests: 3600, 3601"
time="2023-12-11T07:51:43.445296156-07:00" level=info msg="WarmUp: Real / target RPS: 100.03 / 100"
time="2023-12-11T07:52:19.445910851-07:00" level=info msg="WarmUp: Issued / completed requests: 4500, 4499"
time="2023-12-11T07:52:19.446007843-07:00" level=info msg="WarmUp: Real / target RPS: 124.97 / 125"
time="2023-12-11T07:52:55.446865714-07:00" level=info msg="WarmUp: Issued / completed requests: 6000, 5995"
time="2023-12-11T07:52:55.446968239-07:00" level=info msg="WarmUp: Real / target RPS: 166.52 / 150"
time="2023-12-11T07:53:31.44793387-07:00" level=info msg="WarmUp: Issued / completed requests: 7198, 7198"
time="2023-12-11T07:53:31.448054444-07:00" level=info msg="WarmUp: Real / target RPS: 199.94 / 175"
time="2023-12-11T07:54:07.448703513-07:00" level=info msg="WarmUp: Issued / completed requests: 7198, 7199"
time="2023-12-11T07:54:07.449009484-07:00" level=info msg="WarmUp: Real / target RPS: 199.97 / 199.99999999999997"
time="2023-12-11T07:54:43.449904367-07:00" level=info msg="WarmUp: Issued / completed requests: 9000, 8999"
time="2023-12-11T07:54:43.449960928-07:00" level=info msg="WarmUp: Real / target RPS: 249.97 / 224.99999999999997"
time="2023-12-11T07:55:19.45004939-07:00" level=info msg="WarmUp: Issued / completed requests: 8999, 8999"
time="2023-12-11T07:55:19.450181216-07:00" level=info msg="WarmUp: Real / target RPS: 249.97 / 249.99999999999997"
time="2023-12-11T08:06:14.252812523-07:00" level=warning msg="Failed to invoke driver.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = upstream connect error or disconnect/reset before headers. reset reason: connection termination"
time="2023-12-11T08:06:14.434997815-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = upstream connect error or disconnect/reset before headers. reset reason: connection termination"
time="2023-12-11T08:06:14.461618857-07:00" level=warning msg="Failed to invoke auth-nodejs.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = upstream connect error or disconnect/reset before headers. reset reason: connection termination"
time="2023-12-11T08:06:14.481171575-07:00" level=warning msg="Failed to invoke fibonacci-python-tracing.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = upstream connect error or disconnect/reset before headers. reset reason: connection termination"
