# started on Mon Dec 11 09:00:05 2023

#           time             counts unit events
   120.002315844  1,001,962,080,612      instructions                                                  (60.00%)
   120.002315844     13,968,071,942      LLC-loads                                                     (60.00%)
   120.002315844      2,175,530,567      LLC-load-misses           #   15.58% of all LL-cache hits     (60.00%)
   120.002315844      5,746,907,286      LLC-stores                                                    (40.00%)
   120.002315844      2,187,933,590      LLC-store-misses                                              (40.00%)
   120.002315844    <not supported>      LLC-prefetch-misses                                         
   150.003319361  1,038,806,831,270      instructions                                                  (60.00%)
   150.003319361     16,494,553,146      LLC-loads                                                     (60.00%)
   150.003319361      2,156,867,415      LLC-load-misses           #   14.16% of all LL-cache hits     (60.00%)
   150.003319361      5,851,681,277      LLC-stores                                                    (40.00%)
   150.003319361      2,236,472,812      LLC-store-misses                                              (40.00%)
   150.003319361    <not supported>      LLC-prefetch-misses                                         
   180.004252652  1,064,956,076,154      instructions                                                  (60.00%)
   180.004252652     18,596,189,575      LLC-loads                                                     (60.00%)
   180.004252652      2,088,463,006      LLC-load-misses           #   12.77% of all LL-cache hits     (60.00%)
   180.004252652      5,754,087,277      LLC-stores                                                    (40.00%)
   180.004252652      2,290,971,715      LLC-store-misses                                              (40.00%)
   180.004252652    <not supported>      LLC-prefetch-misses                                         
   210.005207010  1,038,915,042,363      instructions                                                  (60.00%)
   210.005207010     17,167,251,133      LLC-loads                                                     (60.00%)
   210.005207010      2,093,468,500      LLC-load-misses           #   12.64% of all LL-cache hits     (60.00%)
   210.005207010      5,718,064,852      LLC-stores                                                    (40.00%)
   210.005207010      2,244,655,079      LLC-store-misses                                              (40.00%)
   210.005207010    <not supported>      LLC-prefetch-misses                                         
   240.006028766  1,044,363,707,930      instructions                                                  (60.00%)
   240.006028766     16,920,352,197      LLC-loads                                                     (60.00%)
   240.006028766      2,176,141,926      LLC-load-misses           #   13.09% of all LL-cache hits     (60.00%)
   240.006028766      5,749,557,459      LLC-stores                                                    (40.00%)
   240.006028766      2,234,150,948      LLC-store-misses                                              (40.00%)
   240.006028766    <not supported>      LLC-prefetch-misses                                         
   270.006859425  1,057,872,815,104      instructions                                                  (60.00%)
   270.006859425     17,788,334,472      LLC-loads                                                     (60.00%)
   270.006859425      2,268,821,280      LLC-load-misses           #   13.49% of all LL-cache hits     (60.00%)
   270.006859425      5,636,088,486      LLC-stores                                                    (40.00%)
   270.006859425      2,205,715,738      LLC-store-misses                                              (40.00%)
   270.006859425    <not supported>      LLC-prefetch-misses                                         
   300.007704093  1,040,520,585,228      instructions                                                  (60.00%)
   300.007704093     16,783,642,766      LLC-loads                                                     (60.00%)
   300.007704093      2,308,795,379      LLC-load-misses           #   13.73% of all LL-cache hits     (60.00%)
   300.007704093      5,372,612,034      LLC-stores                                                    (40.00%)
   300.007704093      2,097,851,930      LLC-store-misses                                              (40.00%)
   300.007704093    <not supported>      LLC-prefetch-misses                                         
   330.008617750  1,019,104,628,567      instructions                                                  (60.00%)
   330.008617750     15,560,051,755      LLC-loads                                                     (60.00%)
   330.008617750      2,185,324,473      LLC-load-misses           #   13.12% of all LL-cache hits     (60.00%)
   330.008617750      5,508,106,280      LLC-stores                                                    (40.00%)
   330.008617750      2,142,772,787      LLC-store-misses                                              (40.00%)
   330.008617750    <not supported>      LLC-prefetch-misses                                         
   360.009673724  1,050,397,033,839      instructions                                                  (60.00%)
   360.009673724     15,281,289,246      LLC-loads                                                     (60.00%)
   360.009673724      2,279,529,658      LLC-load-misses           #   13.81% of all LL-cache hits     (60.00%)
   360.009673724      5,469,582,799      LLC-stores                                                    (40.00%)
   360.009673724      2,120,866,466      LLC-store-misses                                              (40.00%)
   360.009673724    <not supported>      LLC-prefetch-misses                                         
   390.010566093  1,053,673,400,466      instructions                                                  (60.00%)
   390.010566093     15,959,655,490      LLC-loads                                                     (60.00%)
   390.010566093      2,320,194,438      LLC-load-misses           #   14.10% of all LL-cache hits     (60.00%)
   390.010566093      5,542,744,300      LLC-stores                                                    (40.00%)
   390.010566093      2,161,336,562      LLC-store-misses                                              (40.00%)
   390.010566093    <not supported>      LLC-prefetch-misses                                         
   420.011400996  1,083,836,275,770      instructions                                                  (60.00%)
   420.011400996     15,390,020,401      LLC-loads                                                     (60.00%)
   420.011400996      2,287,943,979      LLC-load-misses           #   13.99% of all LL-cache hits     (60.00%)
   420.011400996      5,329,851,364      LLC-stores                                                    (40.00%)
   420.011400996      2,081,086,363      LLC-store-misses                                              (40.00%)
   420.011400996    <not supported>      LLC-prefetch-misses                                         
   450.012224582  1,065,815,135,255      instructions                                                  (60.00%)
   450.012224582     17,083,194,111      LLC-loads                                                     (60.00%)
   450.012224582      2,308,305,447      LLC-load-misses           #   14.06% of all LL-cache hits     (60.00%)
   450.012224582      5,633,165,271      LLC-stores                                                    (40.00%)
   450.012224582      2,159,220,782      LLC-store-misses                                              (40.00%)
   450.012224582    <not supported>      LLC-prefetch-misses                                         
   480.013106128  1,034,623,284,779      instructions                                                  (60.00%)
   480.013106128     17,242,606,360      LLC-loads                                                     (60.00%)
   480.013106128      2,245,209,921      LLC-load-misses           #   13.62% of all LL-cache hits     (60.00%)
   480.013106128      5,664,625,427      LLC-stores                                                    (40.00%)
   480.013106128      2,175,005,016      LLC-store-misses                                              (40.00%)
   480.013106128    <not supported>      LLC-prefetch-misses                                         
   510.014055011  1,062,639,443,062      instructions                                                  (60.00%)
