Linux 5.4.0-164-generic (node-0.llcperf.rperf-pg0.wisc.cloudlab.us) 	11/28/2023 	_x86_64_	(40 CPU)

02:41:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:42:08 AM  all   13.14    0.00    4.84    0.01    0.00    1.28    0.00    0.00    0.00   80.74
02:42:38 AM  all   12.84    0.00    4.87    0.01    0.00    1.26    0.00    0.00    0.00   81.03
02:43:08 AM  all   12.78    0.00    4.90    0.01    0.00    1.25    0.00    0.00    0.00   81.08
02:43:38 AM  all   12.67    0.00    4.83    0.03    0.00    1.22    0.00    0.00    0.00   81.25
02:44:08 AM  all   12.61    0.00    4.81    0.01    0.00    1.26    0.00    0.00    0.00   81.30
02:44:38 AM  all   12.41    0.00    4.85    0.00    0.00    1.26    0.00    0.00    0.00   81.48
02:45:08 AM  all   12.40    0.00    4.76    0.01    0.00    1.24    0.00    0.00    0.00   81.59
02:45:38 AM  all   12.22    0.00    4.71    0.01    0.00    1.22    0.00    0.00    0.00   81.84
02:46:08 AM  all   12.40    0.00    4.72    0.00    0.00    1.25    0.00    0.00    0.00   81.62
02:46:38 AM  all   12.31    0.00    4.79    0.01    0.00    1.25    0.00    0.00    0.00   81.64
02:47:08 AM  all   12.14    0.00    4.74    0.02    0.00    1.26    0.00    0.00    0.00   81.84
02:47:38 AM  all   12.26    0.00    4.69    0.01    0.00    1.22    0.00    0.00    0.00   81.83
02:48:08 AM  all   12.15    0.00    4.77    0.00    0.00    1.24    0.00    0.00    0.00   81.84
02:48:38 AM  all   12.10    0.00    4.69    0.01    0.00    1.28    0.00    0.00    0.00   81.92
02:49:08 AM  all   12.07    0.00    4.76    0.01    0.00    1.22    0.00    0.00    0.00   81.95
02:49:38 AM  all   11.88    0.00    4.64    0.01    0.00    1.26    0.00    0.00    0.00   82.21
02:50:08 AM  all   12.16    0.00    4.67    0.00    0.00    1.24    0.00    0.00    0.00   81.92
02:50:38 AM  all   11.93    0.00    4.82    0.01    0.00    1.28    0.00    0.00    0.00   81.97
02:51:08 AM  all   12.10    0.00    4.79    0.01    0.00    1.27    0.00    0.00    0.00   81.82
02:51:38 AM  all   11.98    0.00    4.65    0.01    0.00    1.26    0.00    0.00    0.00   82.11
02:52:08 AM  all   11.95    0.00    4.68    0.00    0.00    1.25    0.00    0.00    0.00   82.12
02:52:38 AM  all   11.79    0.00    4.66    0.01    0.00    1.22    0.00    0.00    0.00   82.32
02:53:08 AM  all   11.85    0.00    4.69    0.01    0.00    1.26    0.00    0.00    0.00   82.19
02:53:38 AM  all   11.98    0.00    4.59    0.01    0.00    1.23    0.00    0.00    0.00   82.20
Average:     all   12.26    0.00    4.75    0.01    0.00    1.25    0.00    0.00    0.00   81.74
