Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	12/12/2023 	_x86_64_	(40 CPU)

08:00:46 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:01:16 AM  all   13.83    0.00    5.09    0.00    0.00    1.61    0.00    0.00    0.00   79.46
08:01:46 AM  all   13.52    0.00    4.90    0.00    0.00    1.66    0.00    0.00    0.00   79.91
08:02:16 AM  all   13.41    0.00    4.94    0.00    0.00    1.68    0.00    0.00    0.00   79.96
08:02:46 AM  all   13.32    0.00    4.84    0.01    0.00    1.66    0.00    0.00    0.00   80.17
08:03:16 AM  all   13.21    0.00    4.86    0.00    0.00    1.65    0.00    0.00    0.00   80.28
08:03:46 AM  all   13.52    0.00    4.89    0.00    0.00    1.66    0.00    0.00    0.00   79.93
08:04:16 AM  all   12.89    0.00    4.91    0.00    0.00    1.67    0.00    0.00    0.00   80.52
08:04:46 AM  all   13.10    0.00    4.90    0.01    0.00    1.67    0.00    0.00    0.00   80.33
08:05:16 AM  all   12.93    0.00    4.85    0.01    0.00    1.70    0.00    0.00    0.00   80.51
08:05:46 AM  all   13.17    0.00    4.94    0.00    0.00    1.72    0.00    0.00    0.00   80.16
08:06:16 AM  all   12.79    0.00    4.86    0.01    0.00    1.66    0.00    0.00    0.00   80.68
08:06:46 AM  all   12.84    0.00    4.93    0.00    0.00    1.67    0.00    0.00    0.00   80.56
08:07:16 AM  all   12.75    0.00    4.91    0.00    0.00    1.69    0.00    0.00    0.00   80.65
08:07:46 AM  all   12.92    0.00    4.94    0.00    0.00    1.64    0.00    0.00    0.00   80.50
08:08:16 AM  all   12.89    0.00    4.92    0.00    0.00    1.62    0.00    0.00    0.00   80.57
08:08:46 AM  all   12.70    0.00    4.88    0.00    0.00    1.65    0.00    0.00    0.00   80.76
08:09:16 AM  all   12.58    0.00    4.88    0.01    0.00    1.61    0.00    0.00    0.00   80.92
08:09:46 AM  all   12.64    0.00    4.89    0.00    0.00    1.61    0.00    0.00    0.00   80.85
08:10:16 AM  all   12.64    0.00    4.84    0.00    0.00    1.61    0.00    0.00    0.00   80.91
08:10:46 AM  all   12.66    0.00    4.97    0.00    0.00    1.62    0.00    0.00    0.00   80.75
08:11:16 AM  all   12.61    0.00    4.89    0.00    0.00    1.65    0.00    0.00    0.00   80.85
08:11:46 AM  all   12.61    0.00    4.93    0.01    0.00    1.63    0.00    0.00    0.00   80.82
08:12:16 AM  all   12.71    0.00    4.86    0.00    0.00    1.68    0.00    0.00    0.00   80.74
08:12:46 AM  all   12.54    0.00    4.85    0.00    0.00    1.67    0.00    0.00    0.00   80.93
Average:     all   12.95    0.00    4.90    0.00    0.00    1.65    0.00    0.00    0.00   80.49
