Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	12/12/2023 	_x86_64_	(40 CPU)

04:08:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:09:17 PM  all    8.32    0.00   75.07    0.00    0.00    0.56    0.00    0.00    0.00   16.04
04:09:47 PM  all    8.94    0.00   71.61    0.01    0.00    0.60    0.00    0.00    0.00   18.84
04:10:17 PM  all    8.07    0.00   76.34    0.00    0.00    0.52    0.00    0.00    0.00   15.08
04:10:47 PM  all    9.21    0.00   70.51    0.01    0.00    0.64    0.00    0.00    0.00   19.64
04:11:17 PM  all    7.98    0.00   76.55    0.00    0.00    0.53    0.00    0.00    0.00   14.93
04:11:47 PM  all    9.33    0.00   70.33    0.00    0.00    0.64    0.00    0.00    0.00   19.69
04:12:17 PM  all    8.21    0.00   76.54    0.00    0.00    0.56    0.00    0.00    0.00   14.69
04:12:47 PM  all    9.59    0.00   69.87    0.01    0.00    0.64    0.00    0.00    0.00   19.89
04:13:17 PM  all    7.59    0.00   79.81    0.00    0.00    0.49    0.00    0.00    0.00   12.11
04:13:47 PM  all    9.89    0.00   68.37    0.00    0.00    0.69    0.00    0.00    0.00   21.05
04:14:17 PM  all    7.57    0.00   78.21    0.00    0.00    0.53    0.00    0.00    0.00   13.69
04:14:47 PM  all    9.75    0.00   69.48    0.01    0.00    0.65    0.00    0.00    0.00   20.11
04:15:17 PM  all    8.00    0.00   76.88    0.00    0.00    0.53    0.00    0.00    0.00   14.59
04:15:47 PM  all    9.74    0.00   69.73    0.00    0.00    0.60    0.00    0.00    0.00   19.93
04:16:17 PM  all    7.71    0.00   78.10    0.00    0.00    0.52    0.00    0.00    0.00   13.66
04:16:47 PM  all   10.13    0.00   68.57    0.01    0.00    0.69    0.00    0.00    0.00   20.61
04:17:17 PM  all    7.05    0.00   80.20    0.00    0.00    0.45    0.00    0.00    0.00   12.30
04:17:47 PM  all   10.16    0.00   67.06    0.01    0.00    0.71    0.00    0.00    0.00   22.07
04:18:17 PM  all    6.98    0.00   80.63    0.00    0.00    0.43    0.00    0.00    0.00   11.96
04:18:47 PM  all   10.81    0.00   63.46    0.00    0.00    0.75    0.00    0.00    0.00   24.97
04:19:17 PM  all    6.84    0.00   80.98    0.00    0.00    0.44    0.00    0.00    0.00   11.73
04:19:47 PM  all   10.94    0.00   62.03    0.01    0.00    0.82    0.00    0.00    0.00   26.22
04:20:17 PM  all    6.38    0.00   82.61    0.00    0.00    0.38    0.00    0.00    0.00   10.63
04:20:47 PM  all   11.57    0.00   59.61    0.01    0.00    0.83    0.00    0.00    0.00   27.98
Average:     all    8.78    0.00   73.04    0.00    0.00    0.59    0.00    0.00    0.00   17.59
