# started on Wed Dec 13 03:47:21 2023

#           time             counts unit events
   120.002299152  1,003,518,159,017      instructions                                                  (60.00%)
   120.002299152     16,468,422,406      LLC-loads                                                     (60.00%)
   120.002299152      1,379,415,035      LLC-load-misses           #    8.38% of all LL-cache hits     (60.00%)
   120.002299152      5,028,460,913      LLC-stores                                                    (40.00%)
   120.002299152      2,084,400,626      LLC-store-misses                                              (40.00%)
   120.002299152    <not supported>      LLC-prefetch-misses                                         
   150.003255786    922,615,490,648      instructions                                                  (60.00%)
   150.003255786     14,395,912,992      LLC-loads                                                     (60.00%)
   150.003255786      1,312,123,628      LLC-load-misses           #    8.50% of all LL-cache hits     (60.00%)
   150.003255786      4,509,220,058      LLC-stores                                                    (40.00%)
   150.003255786      1,844,612,167      LLC-store-misses                                              (40.00%)
   150.003255786    <not supported>      LLC-prefetch-misses                                         
   180.004140609    993,091,609,468      instructions                                                  (60.00%)
   180.004140609     16,208,844,464      LLC-loads                                                     (60.00%)
   180.004140609      1,382,855,397      LLC-load-misses           #    8.81% of all LL-cache hits     (60.00%)
   180.004140609      4,971,621,301      LLC-stores                                                    (40.00%)
   180.004140609      2,048,798,107      LLC-store-misses                                              (40.00%)
   180.004140609    <not supported>      LLC-prefetch-misses                                         
   210.005025861    915,367,522,795      instructions                                                  (60.00%)
   210.005025861     14,320,452,744      LLC-loads                                                     (60.00%)
   210.005025861      1,330,476,001      LLC-load-misses           #    8.67% of all LL-cache hits     (60.00%)
   210.005025861      4,451,847,980      LLC-stores                                                    (40.00%)
   210.005025861      1,823,985,036      LLC-store-misses                                              (40.00%)
   210.005025861    <not supported>      LLC-prefetch-misses                                         
   240.005937830    984,335,343,720      instructions                                                  (60.00%)
   240.005937830     16,029,732,594      LLC-loads                                                     (60.00%)
   240.005937830      1,338,636,573      LLC-load-misses           #    8.64% of all LL-cache hits     (60.00%)
   240.005937830      4,912,841,406      LLC-stores                                                    (40.00%)
   240.005937830      2,030,737,953      LLC-store-misses                                              (40.00%)
   240.005937830    <not supported>      LLC-prefetch-misses                                         
   270.006799218    915,901,794,558      instructions                                                  (60.00%)
   270.006799218     14,454,720,009      LLC-loads                                                     (60.00%)
   270.006799218      1,343,896,516      LLC-load-misses           #    8.78% of all LL-cache hits     (60.00%)
   270.006799218      4,423,924,956      LLC-stores                                                    (40.00%)
   270.006799218      1,812,046,654      LLC-store-misses                                              (40.00%)
   270.006799218    <not supported>      LLC-prefetch-misses                                         
   300.007665167    980,151,780,733      instructions                                                  (60.00%)
