Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	12/13/2023 	_x86_64_	(40 CPU)

02:44:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:44:40 AM  all    7.17    0.00   82.98    0.00    0.00    0.39    0.00    0.00    0.00    9.46
02:45:10 AM  all   11.40    0.00   67.33    0.00    0.00    0.70    0.00    0.00    0.00   20.57
02:45:40 AM  all    6.94    0.00   83.06    0.00    0.00    0.41    0.00    0.00    0.00    9.59
02:46:10 AM  all   11.62    0.00   66.21    0.01    0.00    0.73    0.00    0.00    0.00   21.43
02:46:40 AM  all    6.74    0.00   84.84    0.00    0.00    0.37    0.00    0.00    0.00    8.05
02:47:10 AM  all   12.24    0.00   63.56    0.00    0.00    0.74    0.00    0.00    0.00   23.45
02:47:40 AM  all    5.61    0.00   88.43    0.00    0.00    0.28    0.00    0.00    0.00    5.68
02:48:10 AM  all   13.54    0.00   59.99    0.01    0.00    0.88    0.00    0.00    0.00   25.58
02:48:40 AM  all    6.28    0.00   85.07    0.00    0.00    0.33    0.00    0.00    0.00    8.32
02:49:10 AM  all   12.64    0.00   61.84    0.01    0.00    0.83    0.00    0.00    0.00   24.69
02:49:40 AM  all    6.56    0.00   85.26    0.00    0.00    0.34    0.00    0.00    0.00    7.83
02:50:10 AM  all   13.26    0.00   61.04    0.01    0.00    0.82    0.00    0.00    0.00   24.87
02:50:40 AM  all    5.96    0.00   85.47    0.01    0.00    0.34    0.00    0.00    0.00    8.23
02:51:10 AM  all   13.35    0.00   60.31    0.00    0.00    0.86    0.00    0.00    0.00   25.48
02:51:40 AM  all    6.40    0.00   84.94    0.00    0.00    0.33    0.00    0.00    0.00    8.33
02:52:10 AM  all   13.09    0.00   60.35    0.00    0.00    0.82    0.00    0.00    0.00   25.73
02:52:40 AM  all    6.89    0.00   82.89    0.00    0.00    0.39    0.00    0.00    0.00    9.83
02:53:10 AM  all   13.47    0.00   57.87    0.01    0.00    0.85    0.00    0.00    0.00   27.80
02:53:40 AM  all    6.75    0.00   82.26    0.00    0.00    0.39    0.00    0.00    0.00   10.60
02:54:10 AM  all   14.01    0.00   56.82    0.00    0.00    0.94    0.00    0.00    0.00   28.22
02:54:40 AM  all    7.16    0.00   82.11    0.00    0.00    0.38    0.00    0.00    0.00   10.35
02:55:10 AM  all   13.08    0.00   58.35    0.01    0.00    0.87    0.00    0.00    0.00   27.69
02:55:40 AM  all    7.38    0.00   80.16    0.00    0.00    0.42    0.00    0.00    0.00   12.04
02:56:10 AM  all   13.65    0.00   57.55    0.00    0.00    0.89    0.00    0.00    0.00   27.91
Average:     all    9.79    0.00   72.49    0.00    0.00    0.60    0.00    0.00    0.00   17.12
