Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	12/12/2023 	_x86_64_	(40 CPU)

08:35:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:36:21 PM  all    1.45    0.00    0.63    0.00    0.00    0.05    0.00    0.00    0.00   97.86
08:36:51 PM  all    1.46    0.00    0.58    0.00    0.00    0.06    0.00    0.00    0.00   97.90
08:37:21 PM  all    1.44    0.00    0.63    0.01    0.00    0.07    0.00    0.00    0.00   97.85
08:37:51 PM  all    1.42    0.00    0.61    0.00    0.00    0.07    0.00    0.00    0.00   97.89
08:38:21 PM  all    1.42    0.00    0.64    0.01    0.00    0.07    0.00    0.00    0.00   97.86
08:38:51 PM  all    1.49    0.00    0.63    0.01    0.00    0.07    0.00    0.00    0.00   97.80
08:39:21 PM  all    1.40    0.00    0.61    0.00    0.00    0.07    0.00    0.00    0.00   97.92
08:39:51 PM  all    1.37    0.00    0.64    0.00    0.00    0.06    0.00    0.00    0.00   97.93
08:40:21 PM  all    1.44    0.00    0.63    0.01    0.00    0.06    0.00    0.00    0.00   97.87
08:40:51 PM  all    1.65    0.00    0.66    0.00    0.00    0.05    0.00    0.00    0.00   97.63
08:41:21 PM  all    1.39    0.00    0.62    0.01    0.00    0.05    0.00    0.00    0.00   97.93
08:41:51 PM  all    1.42    0.00    0.62    0.01    0.00    0.05    0.00    0.00    0.00   97.91
08:42:21 PM  all    1.39    0.00    0.63    0.00    0.00    0.05    0.00    0.00    0.00   97.92
08:42:51 PM  all    1.50    0.00    0.61    0.01    0.00    0.05    0.00    0.00    0.00   97.83
08:43:21 PM  all    1.43    0.00    0.63    0.00    0.00    0.05    0.00    0.00    0.00   97.90
08:43:51 PM  all    1.47    0.00    0.61    0.01    0.00    0.05    0.00    0.00    0.00   97.86
08:44:21 PM  all    1.44    0.00    0.61    0.00    0.00    0.05    0.00    0.00    0.00   97.90
08:44:51 PM  all    1.39    0.00    0.62    0.01    0.00    0.04    0.00    0.00    0.00   97.95
08:45:21 PM  all    1.44    0.00    0.63    0.01    0.00    0.04    0.00    0.00    0.00   97.88
08:45:51 PM  all    1.51    0.00    0.60    0.01    0.00    0.04    0.00    0.00    0.00   97.85
08:46:21 PM  all    1.48    0.00    0.67    0.01    0.00    0.04    0.00    0.00    0.00   97.80
08:46:51 PM  all    1.53    0.00    0.60    0.00    0.00    0.05    0.00    0.00    0.00   97.81
08:47:21 PM  all    1.38    0.00    0.62    0.01    0.00    0.04    0.00    0.00    0.00   97.95
08:47:51 PM  all    1.40    0.00    0.58    0.00    0.00    0.04    0.00    0.00    0.00   97.97
Average:     all    1.45    0.00    0.62    0.00    0.00    0.05    0.00    0.00    0.00   97.87
