# started on Tue Dec 12 20:34:21 2023

#           time             counts unit events
   120.010619340     22,908,102,755      instructions                                                  (60.00%)
   120.010619340        189,402,972      LLC-loads                                                     (60.01%)
   120.010619340         36,088,049      LLC-load-misses           #   19.05% of all LL-cache hits     (60.01%)
   120.010619340         46,629,570      LLC-stores                                                    (39.99%)
   120.010619340         18,658,610      LLC-store-misses                                              (39.99%)
   120.010619340    <not supported>      LLC-prefetch-misses                                         
   150.014722215     23,351,048,788      instructions                                                  (59.99%)
   150.014722215        189,369,569      LLC-loads                                                     (60.00%)
   150.014722215         34,428,275      LLC-load-misses           #   18.18% of all LL-cache hits     (60.00%)
   150.014722215         46,941,687      LLC-stores                                                    (40.01%)
   150.014722215         18,713,229      LLC-store-misses                                              (40.00%)
   150.014722215    <not supported>      LLC-prefetch-misses                                         
   180.018543154     23,030,431,430      instructions                                                  (59.99%)
   180.018543154        195,814,362      LLC-loads                                                     (59.99%)
   180.018543154         38,001,387      LLC-load-misses           #   19.84% of all LL-cache hits     (60.00%)
   180.018543154         46,702,384      LLC-stores                                                    (40.01%)
   180.018543154         18,606,958      LLC-store-misses                                              (40.01%)
   180.018543154    <not supported>      LLC-prefetch-misses                                         
   210.022226216     22,809,505,360      instructions                                                  (60.00%)
   210.022226216        186,609,128      LLC-loads                                                     (60.00%)
   210.022226216         34,646,777      LLC-load-misses           #   18.21% of all LL-cache hits     (59.99%)
   210.022226216         48,065,751      LLC-stores                                                    (40.00%)
   210.022226216         18,402,532      LLC-store-misses                                              (40.01%)
   210.022226216    <not supported>      LLC-prefetch-misses                                         
   240.026019380     22,076,290,005      instructions                                                  (60.00%)
   240.026019380        185,428,125      LLC-loads                                                     (60.01%)
   240.026019380         33,981,585      LLC-load-misses           #   17.95% of all LL-cache hits     (60.00%)
   240.026019380         47,658,534      LLC-stores                                                    (39.99%)
   240.026019380         18,287,222      LLC-store-misses                                              (40.00%)
   240.026019380    <not supported>      LLC-prefetch-misses                                         
   270.030465149     24,211,799,173      instructions                                                  (60.00%)
   270.030465149        189,265,071      LLC-loads                                                     (60.00%)
   270.030465149         35,462,985      LLC-load-misses           #   18.73% of all LL-cache hits     (60.00%)
   270.030465149         49,368,484      LLC-stores                                                    (39.99%)
   270.030465149         18,274,302      LLC-store-misses                                              (40.00%)
   270.030465149    <not supported>      LLC-prefetch-misses                                         
   300.033825136     22,569,408,691      instructions                                                  (59.99%)
   300.033825136        189,109,749      LLC-loads                                                     (60.00%)
   300.033825136         33,080,067      LLC-load-misses           #   17.48% of all LL-cache hits     (60.00%)
   300.033825136         47,375,357      LLC-stores                                                    (40.01%)
   300.033825136         17,915,346      LLC-store-misses                                              (40.00%)
   300.033825136    <not supported>      LLC-prefetch-misses                                         
   330.038300993     22,448,012,939      instructions                                                  (59.99%)
   330.038300993        192,406,061      LLC-loads                                                     (59.99%)
