Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	12/13/2023 	_x86_64_	(40 CPU)

02:01:03 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:01:33 AM  all    2.12    0.00    0.89    0.00    0.00    0.17    0.00    0.00    0.00   96.82
02:02:03 AM  all    2.33    0.00    0.95    0.00    0.00    0.17    0.00    0.00    0.00   96.55
02:02:33 AM  all    2.12    0.00    0.89    0.00    0.00    0.16    0.00    0.00    0.00   96.83
02:03:03 AM  all    2.14    0.00    0.89    0.00    0.00    0.16    0.00    0.00    0.00   96.80
02:03:33 AM  all    2.21    0.00    0.95    0.01    0.00    0.15    0.00    0.00    0.00   96.69
02:04:03 AM  all    2.20    0.00    0.92    0.01    0.00    0.17    0.00    0.00    0.00   96.70
02:04:33 AM  all    2.14    0.00    0.95    0.00    0.00    0.16    0.00    0.00    0.00   96.75
02:05:03 AM  all    2.16    0.00    0.94    0.01    0.00    0.16    0.00    0.00    0.00   96.73
02:05:33 AM  all    2.24    0.00    0.95    0.01    0.00    0.16    0.00    0.00    0.00   96.65
02:06:03 AM  all    2.29    0.00    0.97    0.01    0.00    0.16    0.00    0.00    0.00   96.57
02:06:33 AM  all    2.31    0.00    0.97    0.00    0.00    0.15    0.00    0.00    0.00   96.57
02:07:03 AM  all    2.12    0.00    0.92    0.00    0.00    0.17    0.00    0.00    0.00   96.79
02:07:33 AM  all    2.23    0.00    0.95    0.01    0.00    0.17    0.00    0.00    0.00   96.65
02:08:03 AM  all    2.30    0.00    0.89    0.00    0.00    0.16    0.00    0.00    0.00   96.64
02:08:33 AM  all    2.23    0.00    0.97    0.01    0.00    0.16    0.00    0.00    0.00   96.64
02:09:03 AM  all    2.21    0.00    0.92    0.01    0.00    0.16    0.00    0.00    0.00   96.70
02:09:33 AM  all    2.21    0.00    0.95    0.00    0.00    0.15    0.00    0.00    0.00   96.69
02:10:03 AM  all    2.15    0.00    0.95    0.00    0.00    0.16    0.00    0.00    0.00   96.74
02:10:33 AM  all    2.25    0.00    0.91    0.01    0.00    0.17    0.00    0.00    0.00   96.66
02:11:03 AM  all    2.30    0.00    0.96    0.01    0.00    0.15    0.00    0.00    0.00   96.58
02:11:33 AM  all    2.20    0.00    0.90    0.00    0.00    0.16    0.00    0.00    0.00   96.73
02:12:03 AM  all    2.28    0.00    0.96    0.00    0.00    0.16    0.00    0.00    0.00   96.60
02:12:33 AM  all    2.29    0.00    0.97    0.01    0.00    0.15    0.00    0.00    0.00   96.57
02:13:03 AM  all    2.18    0.00    0.92    0.01    0.00    0.18    0.00    0.00    0.00   96.71
Average:     all    2.22    0.00    0.94    0.00    0.00    0.16    0.00    0.00    0.00   96.68
